candidate_count,replicates,rank_8_probability,effective_rank_ge_6_probability,condition_number_le_3_probability,max_pair_cosine_lt_0_98_probability,joint_candidate_gate_probability,joint_candidate_gate_ci95_low,joint_candidate_gate_ci95_high,joint_candidate_gate_mc_se,effective_rank_q05,effective_rank_q25,effective_rank_q50,effective_rank_q75,effective_rank_q95,condition_number_q05,condition_number_q25,condition_number_q50,condition_number_q75,condition_number_q95,maximum_absolute_pair_cosine_q05,maximum_absolute_pair_cosine_q25,maximum_absolute_pair_cosine_q50,maximum_absolute_pair_cosine_q75,maximum_absolute_pair_cosine_q95
12,100000,1.0,0.4168,0.01972,0.99974,0.01972,0.018876527407209888,0.020600370692212884,0.0004396717138957202,5.322945335636208,5.681898160967186,5.92566953577274,6.163057219642638,6.490721937166387,3.283205365932494,4.186782717864494,5.113919353605239,6.4586644232467165,9.740258285090285,0.6834760453600407,0.7487021634537797,0.7954426998017576,0.8427769092261057,0.9054948354093757
16,100000,1.0,0.89919,0.20847,0.99958,0.20842,0.20591374877631505,0.21094865221441886,0.0012844497016232283,5.883598136416147,6.196311227754871,6.406180246550508,6.604576486457462,6.873518024345722,2.5878861506245747,3.0806967670494085,3.5429779145185574,4.155511376003524,5.435443776853762,0.7352294502324614,0.7895037615641969,0.8287063229433611,0.8681178382601092,0.9207708920902339
19,100000,1.0,0.98536,0.47205,0.99939,0.47182,0.4687270923411759,0.47491507262184945,0.0015786256288303443,6.1685138495991065,6.45404554732875,6.640560868224659,6.819292826506034,7.057859225336427,2.3241935228695523,2.6998705207414586,3.0396643645813173,3.476260486277206,4.344793834456508,0.762408622077001,0.8109744637577603,0.8462727844091957,0.8812568406583711,0.9282395653359201
22,100000,1.0,0.99849,0.71053,0.99921,0.70999,0.7071695527390737,0.7127943145219037,0.0014349362351686573,6.389739915910058,6.648208891468903,6.8168218361178265,6.9747950396324185,7.185022089657548,2.1548806078263314,2.4616520331513185,2.7310974816965183,3.064000118679353,3.7006104359837937,0.783329362722005,0.8273855406230245,0.8593820171985209,0.8916306224234952,0.9346280703160611
24,100000,1.0,0.99978,0.82259,0.99889,0.82182,0.8194359175448,0.824179358239417,0.0012100904412480913,6.505911524712538,6.749558830150094,6.908345557758004,7.055736492615441,7.249807984151504,2.0707823258304425,2.3459254663667077,2.585426269682091,2.875265643831077,3.4211524183184068,0.7941101066601991,0.8360676203054732,0.8667296345990918,0.8970694584275456,0.93778695039225
28,100000,1.0,0.99998,0.94495,0.99848,0.94355,0.9421024713246917,0.9449634524031358,0.0007298177683504286,6.703433390079385,6.9203779996259795,7.060324630958267,7.189994018398934,7.359081715279562,1.939851041349479,2.169097325322561,2.3609681536073137,2.5931516826890375,3.023476290034167,0.8123317602657744,0.8508184797548022,0.8785126646532541,0.9061142490106382,0.9433117044697884
32,100000,1.0,1.0,0.98576,0.9982,0.98399,0.9831932737926169,0.984749543082665,0.00039690905633406716,6.853002693961274,7.047611568652842,7.172477129009561,7.288473233617727,7.439696545007527,1.8476188589939073,2.0420436444350583,2.206773232597534,2.402519734895437,2.7518679182364387,0.8267915127654571,0.8624479994591614,0.8879414462641162,0.913475417449691,0.9474819196589062
36,100000,1.0,1.0,0.9968,0.99754,0.99435,0.9938660712931033,0.9947959496624859,0.00023702484047036175,6.969293901956142,7.149541353783848,7.261527525126155,7.366230680136949,7.501336221557143,1.7757054647410704,1.9472399716431128,2.0904588795300327,2.25918889919108,2.558114158469179,0.8391647567691238,0.8718821873461777,0.8953971767289798,0.9191677394525976,0.9510548448628589
40,100000,1.0,1.0,0.99927,0.99703,0.99631,0.9959146576100985,0.9966672127660895,0.00019173898664590807,7.064138635698207,7.229365090602435,7.333472186067531,7.4290750620537125,7.5514687096139355,1.7166034199189508,1.8734939681513165,2.001413284080825,2.1503498334684314,2.413071529080464,0.8490461111894357,0.8793850529402709,0.9019719923178664,0.9240968405298876,0.9539343191175644
48,100000,1.0,1.0,0.99998,0.99624,0.99622,0.9958201289304688,0.9965817483600793,0.0001940544150489755,7.213592253965343,7.353381873487084,7.441958696544978,7.522560138539738,7.6256265008829835,1.6313431788181014,1.7623149436425203,1.8691127999177681,1.9920320359459622,2.1985583607141006,0.8647059983039135,0.8920002101424667,0.91190201071578,0.9319941522020614,0.958710751368321
56,100000,1.0,1.0,1.0,0.99443,0.99443,0.993949347364472,0.9948726674450192,0.00023535027299750397,7.320821668818862,7.44312967415485,7.519531955136954,7.5901733067610895,7.679376792740546,1.5679517729284744,1.6816157893299741,1.7735985848766522,1.8802844182762901,2.0571291570762593,0.8763235487522318,0.9013323038375114,0.9194942542969611,0.9376491006053148,0.9619970913605228
64,100000,1.0,1.0,1.0,0.99292,0.99292,0.9923810674808623,0.9934210633362289,0.00026513908802739696,7.402721073357902,7.510679495290175,7.5791231277625,7.640653229721655,7.720042815609909,1.5196838556687573,1.6227179652289885,1.704259435331224,1.7957933191154427,1.950654961244221,0.885865574199714,0.9090202410134464,0.9257278309433336,0.9424757021581963,0.9652813997113969
