candidate_count,effect_rho_input,planning_permutations,observed_aggregate_rho,permutation_p,permutation_pass,all_lofo_positive,selected_effective_rank,selected_condition_number,cross_block_A0_q90_minus_q10,cross_block_row_diversity
12,0.2819091742016503,999,0.28409029800921026,0.001001001001001001,True,True,5.488075852163514,6.846626149011883,0.9992506247623523,2.674338725266083
12,0.2819091742016503,999,0.2804498989449389,0.001001001001001001,True,True,5.33184440465534,7.986225864642824,0.8819646232846333,2.6290947576059134
12,0.2819091742016503,999,0.26911521686808865,0.001001001001001001,True,True,5.597118731929861,9.044998952785336,0.8801606237639249,2.5426501863148396
12,0.2819091742016503,999,0.27941548181663467,0.001001001001001001,True,True,5.2521613375300555,6.560424374716772,0.9998193639014694,2.8167900722460693
12,0.2819091742016503,999,0.28879895027607616,0.001001001001001001,True,True,5.79871967768245,5.739771224809166,0.9192875838031405,2.7586693435421026
12,0.2819091742016503,999,0.2763186753982536,0.001001001001001001,True,True,5.270541059789498,11.191341979561372,0.9099335561584803,2.522519741635608
12,0.2819091742016503,999,0.27735631500982355,0.001001001001001001,True,True,5.70638141599831,5.060521522503103,0.9465768049682994,2.6212946746768973
12,0.2819091742016503,999,0.2854677082001122,0.001001001001001001,True,True,5.550131121560509,14.868200312575727,0.9561128770783034,2.5653337940982452
12,0.2819091742016503,999,0.27613821633537194,0.001001001001001001,True,True,5.438884265762312,19.84497153148142,0.9497352073906171,2.4605112239208506
12,0.2819091742016503,999,0.2891788004910259,0.001001001001001001,True,True,5.586754996819599,7.026803329215945,0.9353864061916272,2.5077498006778125
12,0.2819091742016503,999,0.28621612993858153,0.001001001001001001,True,True,5.117261061798875,19.43049797790316,0.9769470798948983,2.837108030509141
12,0.2819091742016503,999,0.28724571334198706,0.001001001001001001,True,True,5.233505666414375,17.28294005437284,0.9448188490797962,2.516892977798032
12,0.2819091742016503,999,0.27723889577582794,0.001001001001001001,True,True,5.391769259425312,7.417411658819224,0.9096546526786723,2.587868644093969
12,0.2819091742016503,999,0.2948159307488346,0.001001001001001001,True,True,5.688375267080949,6.487168235040692,0.886081012014195,2.5174588128182247
12,0.2819091742016503,999,0.2786009991712176,0.001001001001001001,True,True,5.914376949066407,7.145878616840267,0.9527327897977845,2.5461915874817485
12,0.2819091742016503,999,0.2868251792758073,0.001001001001001001,True,True,5.712536021983685,5.127565278490635,0.9710551152321953,2.6920249202104403
12,0.2819091742016503,999,0.27609753248414187,0.001001001001001001,True,True,5.1913388508670995,6.521245572409754,0.9947944870689673,2.6776324586204554
12,0.2819091742016503,999,0.28274168876249595,0.001001001001001001,True,True,5.348006723212158,6.0004055462600245,0.9098586353916103,2.3898494434603466
12,0.2819091742016503,999,0.27173952667762985,0.002002002002002002,True,True,5.9295591650032105,4.0652495275464,0.9212022722088435,2.485344666726046
12,0.2819091742016503,999,0.28763160571306007,0.001001001001001001,True,True,5.620083996430428,17.83586834945867,0.9363226974609516,2.606448763368656
12,0.2819091742016503,999,0.28965492239353974,0.001001001001001001,True,True,4.805741097827018,6.965944302140702,1.0294169746522364,2.803438728730553
12,0.2819091742016503,999,0.2817237868609287,0.001001001001001001,True,True,5.468363621545765,10.163929238900892,0.9137536888834202,2.614919413665156
12,0.2819091742016503,999,0.29371021617827586,0.001001001001001001,True,True,5.642280900142697,15.912452228873477,0.96588000421704,2.6094912108471275
12,0.2819091742016503,999,0.2974112382089841,0.001001001001001001,True,True,5.159574889437839,11.25605964968429,0.9552835173692069,2.7879193646941554
12,0.2819091742016503,999,0.2960984790886012,0.001001001001001001,True,True,5.07826174518627,13.80257198010018,0.8921750795310864,2.592942545447462
12,0.2819091742016503,999,0.2968998703957511,0.001001001001001001,True,True,5.504347827373263,8.5435858131035,0.9430305722000837,2.6372476820377724
12,0.2819091742016503,999,0.28513498680292404,0.001001001001001001,True,True,5.600549493711011,6.889805504049755,0.8643445511487516,2.5513297101959815
12,0.2819091742016503,999,0.26242413317717717,0.001001001001001001,True,True,5.390663400780292,17.325810977015532,0.9076558436512759,2.467026277733296
12,0.2819091742016503,999,0.3003773326498983,0.001001001001001001,True,True,4.791465397455736,14.544288971964486,0.9462371065430195,2.459251195480287
12,0.2819091742016503,999,0.2638708267582926,0.001001001001001001,True,True,4.825359831604949,10.043255193974387,0.9610307932140858,2.6800396352397717
12,0.2819091742016503,999,0.2971300765440479,0.001001001001001001,True,True,5.519188203949484,10.619851629387725,0.8952276712417132,2.5829861677645556
12,0.2819091742016503,999,0.27415880598938797,0.001001001001001001,True,True,5.824645146492607,4.18386800356252,0.961860429177277,2.728720356118084
12,0.2819091742016503,999,0.2753698554816958,0.001001001001001001,True,True,5.2868776366305354,10.043662832413657,0.8928381081295583,2.5235736702490636
12,0.2819091742016503,999,0.2807375055764066,0.001001001001001001,True,True,5.031936817477851,17.376816410361958,0.9892464955194257,2.6771147535051947
12,0.2819091742016503,999,0.29168367701453035,0.001001001001001001,True,True,5.649899693002743,9.477214648984225,0.9486969015714254,2.7713262201709306
12,0.2819091742016503,999,0.2784310131789496,0.001001001001001001,True,True,6.0261256242011205,4.154698438287927,0.9401175783379992,2.434115380173088
12,0.2819091742016503,999,0.2928731761499985,0.001001001001001001,True,True,5.864500118397832,5.82194505832225,0.9816008748529885,2.831887949683033
12,0.2819091742016503,999,0.2760679259191378,0.001001001001001001,True,True,5.2497941948493185,9.005268469598843,0.8890313680000222,2.5713657107043737
12,0.2819091742016503,999,0.27613479244690203,0.001001001001001001,True,True,5.570713396971148,6.744377221681285,0.9169028218010291,2.6092360950916595
12,0.2819091742016503,999,0.2705365333934864,0.001001001001001001,True,True,5.646139482440541,5.983090504382773,0.9614452836372857,2.763918317272422
12,0.2819091742016503,999,0.27384038436169156,0.001001001001001001,True,True,5.249092562230854,9.64330744519348,0.8725912832837297,2.6093179159395117
12,0.2819091742016503,999,0.2858544061920016,0.001001001001001001,True,True,5.773754387263158,5.663093506753651,0.9380922892481417,2.7121864445966715
12,0.2819091742016503,999,0.2869955680784836,0.001001001001001001,True,True,5.423984867325343,10.511573068355114,1.0388105356839952,2.7371262624271653
12,0.2819091742016503,999,0.29075540042879167,0.001001001001001001,True,True,5.770416801829685,9.784060216082882,0.974425253729856,2.76945482699409
12,0.2819091742016503,999,0.2756024784924418,0.001001001001001001,True,True,6.350822383205607,2.9882487981663757,0.9476224639361142,2.8845166979857417
12,0.2819091742016503,999,0.2878537556531924,0.001001001001001001,True,True,6.16254335618323,6.06484200464919,0.9742783901745808,2.5224535168378104
12,0.2819091742016503,999,0.28510296337547064,0.001001001001001001,True,True,5.474117377340009,5.845986888275912,0.9930738440834428,2.884314232270525
12,0.2819091742016503,999,0.28738790541608805,0.001001001001001001,True,True,5.23319007363945,10.68770083347678,0.8649822747608797,2.4490776622491848
12,0.2819091742016503,999,0.28273222271790277,0.001001001001001001,True,True,5.360816895451256,11.617825049589811,0.9323639229382853,2.7298614634501877
12,0.2819091742016503,999,0.303440101588785,0.001001001001001001,True,True,6.253191388201701,4.895603961369015,0.9732485371000192,2.670894799922279
12,0.2819091742016503,999,0.27114155462663003,0.001001001001001001,True,True,5.276775198474035,9.451966374514056,0.9833175183754193,2.70802327863618
12,0.2819091742016503,999,0.29307357432808706,0.001001001001001001,True,True,5.81068620851385,4.315989076585846,0.9321543135073606,2.7579950630021712
12,0.2819091742016503,999,0.28183053161910654,0.001001001001001001,True,True,5.950697304514829,6.790948915554782,0.9245986066448696,2.6437862156375567
12,0.2819091742016503,999,0.28239104230214207,0.001001001001001001,True,True,5.5555433508248075,4.9853788982398,0.9780812344713817,2.7817078170220255
12,0.2819091742016503,999,0.28080678896662015,0.001001001001001001,True,True,5.49573316813625,6.37933699852376,0.8926259018348355,2.6076131854969784
12,0.2819091742016503,999,0.27632834284805086,0.001001001001001001,True,True,6.328926422826804,6.278840086844843,0.9678908265261028,2.620644193694894
12,0.2819091742016503,999,0.287797563601246,0.001001001001001001,True,True,5.7945704216988165,10.261499537438619,0.9355820014257962,2.8160756334752293
12,0.2819091742016503,999,0.27851620758028767,0.001001001001001001,True,True,5.382958524751571,8.179515765768823,0.912270180842392,2.705563151043274
12,0.2819091742016503,999,0.2819048501394228,0.001001001001001001,True,True,5.769970730110164,6.045060949821669,0.9225505424867783,2.5829573623905167
12,0.2819091742016503,999,0.28616618144796246,0.001001001001001001,True,True,5.358104725259045,5.379436948865809,0.9433173123946084,2.7282234922114768
12,0.2819091742016503,999,0.27184083349529664,0.001001001001001001,True,True,5.394752549905494,8.318107521912536,0.8616175012159049,2.486278529032786
12,0.2819091742016503,999,0.280666208134152,0.001001001001001001,True,True,5.189400219631281,10.441871293349527,0.8935243376542222,2.4736968805556376
12,0.2819091742016503,999,0.2848810148405425,0.001001001001001001,True,True,5.548429629832574,6.044966785004882,0.9083637492044072,2.6786762777081936
12,0.2819091742016503,999,0.2816327517086714,0.001001001001001001,True,True,5.569455173440754,12.983335620805553,0.9930042644861647,2.752704616066133
12,0.2819091742016503,999,0.2690521770392025,0.001001001001001001,True,True,4.942651864526309,12.82535862676158,0.8552145923626085,2.3767834582746734
12,0.2819091742016503,999,0.2871446079295243,0.001001001001001001,True,True,6.014734640542416,4.899658094013355,1.0248906184183717,2.7230220284702793
12,0.2819091742016503,999,0.2858926731807824,0.001001001001001001,True,True,5.414082693085875,6.883139718390929,0.9406618264579892,2.7236899458361137
12,0.2819091742016503,999,0.29490696590109194,0.001001001001001001,True,True,5.365929566118873,12.118696608995789,0.9896051965752632,2.9434617638009533
12,0.2819091742016503,999,0.2926969465964031,0.001001001001001001,True,True,5.618208845491095,10.576313480531416,0.9282894811284323,2.7226683724516905
12,0.2819091742016503,999,0.2997195432532781,0.001001001001001001,True,True,5.628494003751632,9.21150323659442,0.9673697180644449,2.5470568882050326
12,0.2819091742016503,999,0.2790740999956698,0.001001001001001001,True,True,6.149716525934483,3.4706833714113903,0.9440963411846968,2.613378927834271
12,0.2819091742016503,999,0.29352170090722973,0.001001001001001001,True,True,5.29577809556916,9.755898691045164,0.9390490293784356,2.6254309155080198
12,0.2819091742016503,999,0.27487963521489434,0.001001001001001001,True,True,5.24475556627806,32.877876340031726,0.8861735000894085,2.7416325676351643
12,0.2819091742016503,999,0.28548039672797104,0.001001001001001001,True,True,5.456467648725326,5.66576898221622,0.9197223504413169,2.6088851068837817
12,0.2819091742016503,999,0.28981564374641877,0.001001001001001001,True,True,5.884604760139887,11.277458941673283,1.0212752033951333,2.778451178895953
12,0.2819091742016503,999,0.29079568146961354,0.001001001001001001,True,True,5.8452540284064325,4.350586280275041,0.9434517321179828,2.7921388412325148
12,0.2819091742016503,999,0.2839021855485724,0.001001001001001001,True,True,5.803921192654604,4.67504176084353,0.8567511163885726,2.4304985240493875
12,0.2819091742016503,999,0.28744570870966735,0.001001001001001001,True,True,5.408397484711648,5.099486452315432,0.8901331060248119,2.6556330770210703
12,0.2819091742016503,999,0.2804217022163636,0.001001001001001001,True,True,5.18707005095652,7.47874549990112,0.9910282393085532,2.8006906221478776
12,0.2819091742016503,999,0.2798049994813816,0.001001001001001001,True,True,5.893117204936033,4.619447122225154,0.9577695902210257,2.5774258962113787
12,0.2819091742016503,999,0.2898885524303063,0.001001001001001001,True,True,5.141032742303644,6.878783762222959,0.8721274218334968,2.6036412374932985
12,0.2819091742016503,999,0.28091856885490063,0.001001001001001001,True,True,5.294656693384811,6.853381327030658,0.9716481093210642,2.625834216323199
12,0.2819091742016503,999,0.268899713299692,0.001001001001001001,True,True,5.092731723907141,7.0499085285337015,0.9444588263701367,2.775571813520467
