family,positive_validity,negative_validity,cross_disagreement,within_disagreement,excess_disagreement,behavior_pass,representation_pass,pass
CONTROL_FLOW_PATH_COVERAGE,1.0,1.0,0.4583333333333333,0.20833333333333334,0.24999999999999997,True,True,True
MUTATION_ALIAS_CAUSALITY,0.9791666666666666,0.9583333333333334,0.3541666666666667,0.2916666666666667,0.0625,True,True,True
API_CONTRACT_EXACTNESS,0.9583333333333334,1.0,0.375,0.3541666666666667,0.020833333333333315,False,True,False
LOOP_BOUNDARY_ACCOUNTING,0.9791666666666666,1.0,0.375,0.2916666666666667,0.08333333333333331,True,True,True
HYPOTHESIS_BRANCH_ELIMINATION,0.9583333333333334,0.9791666666666666,0.3229166666666667,0.20833333333333334,0.11458333333333334,True,True,True
