domain,metric,primary,independent,absolute_difference
CRUXEval,next_token_kl:meaningful,0.21232722433117276,0.21232722433117276,0.0
CRUXEval,next_token_kl:random_mean,0.029154383086021664,0.029154383086021664,0.0
CRUXEval,next_token_kl:random_max,0.04655474769631724,0.04655474769631724,0.0
CRUXEval,next_token_kl:meaningful_minus_random_mean,0.1831728412451511,0.1831728412451511,0.0
CRUXEval,next_token_kl:meaningful_minus_random_max,0.16577247663485553,0.16577247663485553,0.0
CRUXEval,A35:meaningful,300.7450868420327,300.7450868420327,0.0
CRUXEval,A35:random_mean,198.77748272971624,198.77748272971624,0.0
CRUXEval,A35:random_max,203.496428506985,203.496428506985,0.0
CRUXEval,A35:meaningful_minus_random_mean,101.96760411231648,101.96760411231648,0.0
CRUXEval,A35:meaningful_minus_random_max,97.24865833504771,97.24865833504771,0.0
CRUXEval,top1_flip:meaningful,0.11884920634920633,0.11884920634920633,0.0
CRUXEval,top1_flip:random_mean,0.03072916666666667,0.03072916666666667,0.0
CRUXEval,top1_flip:random_max,0.04861111111111111,0.04861111111111111,0.0
CRUXEval,top1_flip:meaningful_minus_random_mean,0.08812003968253966,0.08812003968253966,0.0
CRUXEval,top1_flip:meaningful_minus_random_max,0.07023809523809521,0.07023809523809521,0.0
CHARCOUNT,next_token_kl:meaningful,0.06766350901994612,0.06766350901994612,0.0
CHARCOUNT,next_token_kl:random_mean,0.014348872864711251,0.014348872864711251,0.0
CHARCOUNT,next_token_kl:random_max,0.020219815506287524,0.020219815506287524,0.0
CHARCOUNT,next_token_kl:meaningful_minus_random_mean,0.05331463615523487,0.05331463615523487,0.0
CHARCOUNT,next_token_kl:meaningful_minus_random_max,0.0474436935136586,0.0474436935136586,0.0
CHARCOUNT,A35:meaningful,355.7536404428383,355.7536404428383,0.0
CHARCOUNT,A35:random_mean,184.61662338982936,184.61662338982936,0.0
CHARCOUNT,A35:random_max,188.1813552218596,188.1813552218596,0.0
CHARCOUNT,A35:meaningful_minus_random_mean,171.13701705300892,171.13701705300892,0.0
CHARCOUNT,A35:meaningful_minus_random_max,167.57228522097867,167.57228522097867,0.0
CHARCOUNT,top1_flip:meaningful,0.06527777777777778,0.06527777777777778,0.0
CHARCOUNT,top1_flip:random_mean,0.030324074074074073,0.030324074074074073,0.0
CHARCOUNT,top1_flip:random_max,0.04814814814814814,0.04814814814814814,0.0
CHARCOUNT,top1_flip:meaningful_minus_random_mean,0.03495370370370371,0.03495370370370371,0.0
CHARCOUNT,top1_flip:meaningful_minus_random_max,0.01712962962962964,0.01712962962962964,0.0
