measure,hours,role
observed,9.423414970166943,OBSERVED
forecast_P50,9.759017233627047,FROZEN_FORECAST
forecast_P80,11.054599445427199,FROZEN_FORECAST
forecast_P95,12.451123501911255,FROZEN_FORECAST
