metric,role,medium_rho,strong_rho,equal_shell_rho
A0,PRIMARY_GEOMETRY,0.6560618416907197,0.6300475827320434,0.6430547122113816
A1,SECONDARY_ONLY,0.6528774635874731,0.6227469254639049,0.6378121945256889
A2,SECONDARY_ONLY,0.567306343422856,0.5058694383355039,0.5365878908791799
D2,SECONDARY_ONLY,0.5011975899340135,0.4540138494911567,0.47760571971258514
