endpoint,observed_median_strong_minus_medium,positive_directions,controller_count,permutation_p,bootstrap_median,bootstrap_q025,bootstrap_q975,classification
D_shape,0.0440579710144928,31,31,2e-05,0.0402006688963211,0.0300111482720178,0.0511371237458194,RS+
D_total,0.0433333333333333,31,31,0.00014,0.04,0.03,0.0533333333333333,RT+
