metric,medium_rho,strong_rho,aggregate_full_sample_rho,qap_raw_p,qap_maxT_p,bootstrap_median,bootstrap_q025,bootstrap_q975,bootstrap_resamples,loo_aggregate_min,loo_aggregate_max,loo_all_shell_signs_positive,qualifies,classification
A0,0.554822463226876,0.572814233579725,0.563818348403301,2e-05,2e-05,0.472347590569155,0.397450606002261,0.541243541508594,10000,0.546291042750788,0.584706244263577,True,True,Q2_V4_1_G2
A1,0.554681090932149,0.557940863079156,0.556310977005652,2e-05,2e-05,0.465945046863637,0.390703359694522,0.534320762738151,10000,0.53824782742959,0.574639656059592,True,True,Q2_V4_1_G2
A2,0.44256928065741,0.439687667455326,0.441128474056368,2e-05,2e-05,0.369038479761063,0.300509987949263,0.434392347446276,10000,0.423298851138702,0.464768914644486,True,True,Q2_V4_1_G2
