contrast,observed_full_sample,bootstrap_median,bootstrap_q025,bootstrap_q975,superiority_maxT_p,required_margin,g3_pass
A2_minus_A0,-0.122689874346933,-0.102951898700094,-0.146157865999078,-0.0581782865269986,1,0.1,False
A2_minus_A1,-0.115182502949284,-0.0964217208661816,-0.138780902471445,-0.0541840223298365,1,0.1,False
