domain,metric,primary,audit,absolute_difference
CRUXEval,next_token_kl:meaningful,0.21232722433117276,0.21232722433117276,0.0
CRUXEval,next_token_kl:random_mean,0.029154383086021668,0.029154383086021668,0.0
CRUXEval,next_token_kl:random_max,0.04655474769631727,0.04655474769631727,0.0
CRUXEval,next_token_kl:meaningful_minus_random_mean,0.18317284124515107,0.1831728412451511,2.7755575615628914e-17
CRUXEval,next_token_kl:meaningful_minus_random_max,0.1657724766348555,0.1657724766348555,0.0
CRUXEval,A35:meaningful,3.0734786825772153,3.0734786825772153,0.0
CRUXEval,A35:random_mean,2.0314159381358343,2.0314159381358343,0.0
CRUXEval,A35:random_max,2.0796414248636395,2.0796414248636395,0.0
CRUXEval,A35:meaningful_minus_random_mean,1.0420627444413808,1.042062744441381,2.220446049250313e-16
CRUXEval,A35:meaningful_minus_random_max,0.9938372577135759,0.9938372577135759,0.0
CRUXEval,top1_flip:meaningful,0.11884920634920633,0.11884920634920633,0.0
CRUXEval,top1_flip:random_mean,0.03072916666666667,0.03072916666666667,0.0
CRUXEval,top1_flip:random_max,0.04861111111111111,0.04861111111111111,0.0
CRUXEval,top1_flip:meaningful_minus_random_mean,0.08812003968253967,0.08812003968253966,1.3877787807814457e-17
CRUXEval,top1_flip:meaningful_minus_random_max,0.07023809523809521,0.07023809523809521,0.0
CHARCOUNT,next_token_kl:meaningful,0.06766350901994611,0.06766350901994611,0.0
CHARCOUNT,next_token_kl:random_mean,0.014348872864711244,0.014348872864711244,0.0
CHARCOUNT,next_token_kl:random_max,0.020219815506287486,0.020219815506287486,0.0
CHARCOUNT,next_token_kl:meaningful_minus_random_mean,0.05331463615523487,0.053314636155234865,6.938893903907228e-18
CHARCOUNT,next_token_kl:meaningful_minus_random_max,0.047443693513658625,0.047443693513658625,0.0
CHARCOUNT,A35:meaningful,3.635641142843133,3.635641142843133,0.0
CHARCOUNT,A35:random_mean,1.8866983563515525,1.8866983563515525,0.0
CHARCOUNT,A35:random_max,1.9231283003423236,1.9231283003423236,0.0
CHARCOUNT,A35:meaningful_minus_random_mean,1.74894278649158,1.7489427864915805,4.440892098500626e-16
CHARCOUNT,A35:meaningful_minus_random_max,1.7125128425008094,1.7125128425008094,0.0
CHARCOUNT,top1_flip:meaningful,0.06527777777777778,0.06527777777777778,0.0
CHARCOUNT,top1_flip:random_mean,0.030324074074074073,0.030324074074074073,0.0
CHARCOUNT,top1_flip:random_max,0.04814814814814814,0.04814814814814814,0.0
CHARCOUNT,top1_flip:meaningful_minus_random_mean,0.03495370370370371,0.03495370370370371,0.0
CHARCOUNT,top1_flip:meaningful_minus_random_max,0.01712962962962964,0.01712962962962964,0.0
