domain,meaningful,meaningful_minus_random_max,meaningful_minus_random_mean,metric,random_max,random_mean
CRUXEval,0.21232722433117276,0.1657724766348555,0.18317284124515107,next_token_kl,0.04655474769631727,0.029154383086021668
CRUXEval,3.0734786825772153,0.9938372577135759,1.0420627444413808,A35,2.0796414248636395,2.0314159381358343
CRUXEval,0.11884920634920633,0.07023809523809521,0.08812003968253967,top1_flip,0.04861111111111111,0.03072916666666667
CHARCOUNT,0.06766350901994611,0.047443693513658625,0.05331463615523487,next_token_kl,0.020219815506287486,0.014348872864711244
CHARCOUNT,3.635641142843133,1.7125128425008094,1.74894278649158,A35,1.9231283003423236,1.8866983563515525
CHARCOUNT,0.06527777777777778,0.01712962962962964,0.03495370370370371,top1_flip,0.04814814814814814,0.030324074074074073
