A27,A28,A30,A32,A35,careful_logit_alignment,checkpoint,condition,domain,item_id,logit_cosine,logit_l2,next_token_kl,symmetric_js,target_logprob_shift,top1_flip
0.0,0.0,0.0,0.0,0.0,,PREFILL,TF_BASELINE,CRUXEval,sample_18,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,,0,TF_BASELINE,CRUXEval,sample_18,0.9999999999999999,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,,1,TF_BASELINE,CRUXEval,sample_18,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,,3,TF_BASELINE,CRUXEval,sample_18,0.9999999999999999,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,,7,TF_BASELINE,CRUXEval,sample_18,0.9999999999999998,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,,15,TF_BASELINE,CRUXEval,sample_18,1.0,0.0,0.0,0.0,0.0,0
1.85270920710859,2.181913184185863,3.0477402495360613,3.999659861752086,6.493871948864619,,PREFILL,TF_TEXTUAL_CAREFUL,CRUXEval,sample_18,0.689695596976552,2194.168965173582,16.68589577526802,0.6931460903766105,-16.686012668821178,1
0.9458552644111385,1.0513360408922825,1.298401666952542,1.5137330682938608,2.23468850252089,,0,TF_TEXTUAL_CAREFUL,CRUXEval,sample_18,0.9835335327964677,438.89193302419693,6.457305841532995e-14,1.8441099785066383e-14,-9.947598300641403e-14,0
0.46974977329980366,0.5585624622868062,0.7217404257247287,1.0508347004741052,2.206472159345922,,1,TF_TEXTUAL_CAREFUL,CRUXEval,sample_18,0.9533062038948358,569.3827437701847,1.1076114246334788e-10,2.4505563650110846e-11,-3.417000016270322e-11,0
0.3802912674101941,0.43620682462738286,0.5503500306263999,0.6815265307321156,1.4563748903787985,,3,TF_TEXTUAL_CAREFUL,CRUXEval,sample_18,0.9858005666829909,263.32382451815215,1.449806899614629e-10,2.6076482887661817e-11,1.624727019589045e-10,0
0.5116653798471493,0.5596535209402689,0.7078582861547092,0.8805191464853851,1.3960630922893358,,7,TF_TEXTUAL_CAREFUL,CRUXEval,sample_18,0.9982554241530252,234.32112417896343,1.830658511007978e-09,2.9973615990999484e-10,1.391654791405017e-09,0
0.2977368350336774,0.32245126080940373,0.3944336673714851,0.5154839876730676,1.4843819648628818,,15,TF_TEXTUAL_CAREFUL,CRUXEval,sample_18,0.9783550886972383,466.9175552705384,1.6809155722319723e-11,5.786321908306633e-12,-3.04751779367507e-11,0
1.0000884463758823,1.1424840172097734,1.442427958602324,1.8422724379489654,3.5294982953856255,0.8190135513404144,PREFILL,TF_MEANINGFUL_L27_D75,CRUXEval,sample_18,0.9769993695305687,687.871737143545,0.13050974587064704,0.044393984078407986,-0.13055198931010636,0
0.9998431560250912,1.130166402807895,1.3995779330438358,1.5987232899913837,2.251548042798365,0.2211373734084687,0,TF_MEANINGFUL_L27_D75,CRUXEval,sample_18,0.9841961260977644,427.5884097132724,3.3151584756551764e-14,1.1252821942583181e-14,-7.105427357601002e-14,0
1.0000278644933125,1.164998100433979,1.4388983037452652,1.7586781725262557,3.130802142894181,0.5504492323242177,1,TF_MEANINGFUL_L27_D75,CRUXEval,sample_18,0.9166390970758442,782.932800461272,1.2018735360056274e-07,4.105306620813113e-08,-1.2565019602561733e-07,0
1.0000663811599655,1.1262178207242626,1.3861318738717738,1.7292099597161004,2.520146434741744,0.7207399546458596,3,TF_MEANINGFUL_L27_D75,CRUXEval,sample_18,0.8945858068723905,679.047765352021,4.0549607118016625e-09,1.3668342383308544e-09,-4.6934758302086266e-09,0
0.9998419085217178,1.157657244802281,1.609126376559927,2.0090835990239375,5.015914158560883,-0.5760585713046652,7,TF_MEANINGFUL_L27_D75,CRUXEval,sample_18,0.8882209146952078,1919.1266467108753,3.0935637190649405e-07,1.0630540688677687e-07,-3.174120664084512e-07,0
0.9997492813962444,1.0848399271153244,1.337944093254433,1.6626165143279008,2.9806878788443796,0.8935294901069002,15,TF_MEANINGFUL_L27_D75,CRUXEval,sample_18,0.929958526046263,694.3669889666038,6.232614462125294e-10,2.2252684095952542e-10,-6.573870336978871e-10,0
1.0000501636161117,1.061027036941508,1.1760307863612751,1.3369069501373887,1.7760864583500964,,PREFILL,TF_RANDOM_R0,CRUXEval,sample_18,0.9940498197997397,357.50846307557157,3.7429877478583507e-06,7.651037759017175e-07,6.9160644855514875e-06,0
1.0000726186768325,1.1186708931290745,1.3229307020316396,1.5496904817764992,2.0757506471111666,,0,TF_RANDOM_R0,CRUXEval,sample_18,0.9867983796851175,388.87073002650163,7.303223906831304e-14,2.0179584985950357e-14,-1.2079226507921703e-13,0
1.0000530484676626,1.1399329507801708,1.4302686991599043,1.7093353597230858,2.5999032238500135,,1,TF_RANDOM_R0,CRUXEval,sample_18,0.9771428070461661,418.5159512990704,9.434067335311495e-10,2.8140423214808125e-10,-6.926796913830913e-10,0
1.0000043958361007,1.0974465724550229,1.308109426328347,1.5788015967460243,2.210066216564632,,3,TF_RANDOM_R0,CRUXEval,sample_18,0.9847238303120605,267.61543503840613,6.588886963882163e-11,1.20689556857328e-11,6.640732408413896e-11,0
1.0001344480627756,1.0849703691868036,1.3610890233407649,1.7273270093119037,2.395547201249776,,7,TF_RANDOM_R0,CRUXEval,sample_18,0.9919070070187025,384.06874182296104,1.3968907828780296e-08,5.570501022782476e-10,1.6082708498288412e-09,0
1.0002001758967607,1.0529759620455523,1.2159855904970294,1.4789503351751823,2.2004804006435745,,15,TF_RANDOM_R0,CRUXEval,sample_18,0.9903439833169403,252.57055516069542,1.5937921676723358e-12,3.804509583499455e-13,1.2363443602225743e-12,0
1.0000884463758823,1.0570064895070237,1.1662719573161222,1.3221365101965612,1.7163973203818723,,PREFILL,TF_RANDOM_R1,CRUXEval,sample_18,0.9936279025930173,361.1969796303464,3.3479823379820277e-07,9.298062966682188e-08,-1.7117602624239225e-06,0
0.9998366846013419,1.0755984221253203,1.2155941083446702,1.410298353282983,1.7964023626614443,,0,TF_RANDOM_R1,CRUXEval,sample_18,0.9881551584222751,395.0820696570295,8.015726568965111e-14,2.6758990161577854e-14,-1.3500311979441904e-13,0
