condition,n,commitment_valid,commitment_validity,semantic_evaluable,semantic_evaluability,correct,wrong_or_primary_error,accuracy,invalid_format,truncated,runtime_error,mean_tokens,median_tokens,max_tokens,status_counts
BASELINE,400,399,0.9975,399,0.9975,345,55,0.8625,1,0,0,363.0525,356.5,799,"{""INVALID_FORMAT"": 1, ""VALID_CORRECT"": 345, ""VALID_WRONG"": 54}"
TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,400,400,1.0,400,1.0,322,78,0.805,0,0,0,550.315,490.5,1592,"{""VALID_CORRECT"": 322, ""VALID_WRONG"": 78}"
MEANINGFUL_L27_D75,400,399,0.9975,399,0.9975,334,66,0.835,1,0,0,399.2575,390.5,813,"{""INVALID_FORMAT"": 1, ""VALID_CORRECT"": 334, ""VALID_WRONG"": 65}"
RANDOM_L27_D75_R0,400,400,1.0,400,1.0,333,67,0.8325,0,0,0,325.2475,278.0,739,"{""VALID_CORRECT"": 333, ""VALID_WRONG"": 67}"
RANDOM_L27_D75_R1,400,399,0.9975,399,0.9975,327,73,0.8175,0,1,0,343.2725,270.5,4096,"{""TRUNCATED"": 1, ""VALID_CORRECT"": 327, ""VALID_WRONG"": 72}"
RANDOM_L27_D75_R2,400,400,1.0,400,1.0,339,61,0.8475,0,0,0,356.1125,353.5,932,"{""VALID_CORRECT"": 339, ""VALID_WRONG"": 61}"
RANDOM_L27_D75_R3,400,400,1.0,400,1.0,323,77,0.8075,0,0,0,333.8725,290.5,1650,"{""VALID_CORRECT"": 323, ""VALID_WRONG"": 77}"
