scenario,seed_regime,discordance,gain,N,R,t_power,signflip_power,t_ci_coverage,mean_half_width,mean_estimate,degenerate_fraction,utility_trajectories_max,full_bank_trajectories,expected_generated_tokens_utility,expected_storage_bytes_utility,observed_rate_hours_utility,frozen_p50_hours_utility,frozen_p80_hours_utility,frozen_p95_hours_utility,realized_mean,realized_sd,nonzero_fraction
REGULAR,INDEPENDENT,0.2,0.03,23,1,0.0892,0.0892,0.9454,0.18741354975690766,0.02917826086956522,0.0068,46,184,914.321875,306590.0239583333,0.022576931699358302,0.023383333333333332,0.026473958333333335,0.029828124999999997,0.03,0.44524712239384545,0.199145
REGULAR,INDEPENDENT,0.2,0.03,100,1,0.1586,0.1586,0.953,0.08796081029026022,0.029730000000000006,0.0,200,800,3975.3124999999995,1333000.1041666667,0.09816057260590565,0.10166666666666667,0.11510416666666666,0.1296875,0.03,0.44524712239384545,0.199145
REGULAR,INDEPENDENT,0.2,0.03,250,1,0.2721,0.2721,0.9497,0.05533378820106379,0.0297272,0.0,500,2000,9938.28125,3332500.2604166665,0.24540143151476412,0.25416666666666665,0.2877604166666667,0.32421875,0.03,0.44524712239384545,0.199145
REGULAR,INDEPENDENT,0.2,0.03,400,1,0.3849,0.3849,0.9503,0.043719371644717286,0.0298265,0.0,800,3200,15901.249999999998,5332000.416666667,0.3926422904236226,0.4066666666666667,0.46041666666666664,0.51875,0.03,0.44524712239384545,0.199145
REGULAR,INDEPENDENT,0.2,0.03,500,1,0.4422,0.4422,0.9493,0.03909551692622516,0.029829600000000005,0.0,1000,4000,19876.5625,6665000.520833333,0.49080286302952825,0.5083333333333333,0.5755208333333334,0.6484375,0.03,0.44524712239384545,0.199145
REGULAR,INDEPENDENT,0.2,0.03,800,1,0.5995,0.5995,0.951,0.030882156399285605,0.029762124999999997,0.0,1600,6400,31802.499999999996,10664000.833333334,0.7852845808472452,0.8133333333333334,0.9208333333333333,1.0375,0.03,0.44524712239384545,0.199145
REGULAR,INDEPENDENT,0.2,0.03,1000,1,0.6881,0.6881,0.9505,0.027634312727923577,0.030007399999999997,0.0,2000,8000,39753.125,13330001.041666666,0.9816057260590565,1.0166666666666666,1.1510416666666667,1.296875,0.03,0.44524712239384545,0.199145
REGULAR,INDEPENDENT,0.2,0.03,1200,1,0.7503,0.7513,0.9498,0.025207280908930207,0.030183083333333333,0.0,2400,9600,47703.75,15996001.25,1.177926871270868,1.22,1.38125,1.55625,0.03,0.44524712239384545,0.199145
REGULAR,INDEPENDENT,0.2,0.03,23,2,0.1154,0.1154,0.9522,0.13461867585822218,0.029956521739130437,0.0,92,368,1828.64375,613180.0479166666,0.045153863398716604,0.046766666666666665,0.05294791666666667,0.059656249999999994,0.03,0.316739246068434,0.340995
REGULAR,INDEPENDENT,0.2,0.03,100,2,0.2411,0.2411,0.9516,0.06258113909565106,0.030493,0.0,400,1600,7950.624999999999,2666000.2083333335,0.1963211452118113,0.20333333333333334,0.23020833333333332,0.259375,0.03,0.316739246068434,0.340995
REGULAR,INDEPENDENT,0.2,0.03,250,2,0.4423,0.4423,0.9536,0.03938504653108544,0.029918600000000004,0.0,1000,4000,19876.5625,6665000.520833333,0.49080286302952825,0.5083333333333333,0.5755208333333334,0.6484375,0.03,0.316739246068434,0.340995
REGULAR,INDEPENDENT,0.2,0.03,400,2,0.5955,0.5955,0.9535,0.031107607290664713,0.0300705,0.0,1600,6400,31802.499999999996,10664000.833333334,0.7852845808472452,0.8133333333333334,0.9208333333333333,1.0375,0.03,0.316739246068434,0.340995
REGULAR,INDEPENDENT,0.2,0.03,500,2,0.6788,0.6792,0.948,0.027823354081105738,0.030001800000000002,0.0,2000,8000,39753.125,13330001.041666666,0.9816057260590565,1.0166666666666666,1.1510416666666667,1.296875,0.03,0.316739246068434,0.340995
REGULAR,INDEPENDENT,0.2,0.03,800,2,0.8481,0.8481,0.9468,0.021960313205897718,0.0299746875,0.0,3200,12800,63604.99999999999,21328001.666666668,1.5705691616944903,1.6266666666666667,1.8416666666666666,2.075,0.03,0.316739246068434,0.340995
REGULAR,INDEPENDENT,0.2,0.03,1000,2,0.9092,0.9092,0.9524,0.01965900097757389,0.029848800000000005,0.0,4000,16000,79506.25,26660002.083333332,1.963211452118113,2.033333333333333,2.3020833333333335,2.59375,0.03,0.316739246068434,0.340995
REGULAR,INDEPENDENT,0.2,0.03,1200,2,0.9475,0.9475,0.9471,0.01793009500726069,0.030169583333333333,0.0,4800,19200,95407.5,31992002.5,2.355853742541736,2.44,2.7625,3.1125,0.03,0.316739246068434,0.340995
REGULAR,INDEPENDENT,0.2,0.03,23,4,0.1513,0.1513,0.9492,0.0952166464150474,0.02927282608695652,0.0,184,736,3657.2875,1226360.0958333332,0.09030772679743321,0.09353333333333333,0.10589583333333334,0.11931249999999999,0.03,0.2231255252094659,0.51357
