scenario,seed_regime,discordance,N,R,t_fpr,t_fpr_wilson_low,t_fpr_wilson_high,signflip_fpr,signflip_fpr_wilson_low,signflip_fpr_wilson_high,t_ci_coverage,half_width,degenerate_fraction,realized_mean,realized_sd,nonzero_fraction
REGULAR,INDEPENDENT,0.1,23,1,0.0376,0.035051194809705755,0.0403264001349798,0.0376,0.035051194809705755,0.0403264001349798,0.9804,0.12657075295702822,0.0883,0.0,0.3169936907889493,0.10048499999999999
REGULAR,INDEPENDENT,0.1,100,1,0.05125,0.04827923661489607,0.054393115745457826,0.05125,0.04827923661489607,0.054393115745457826,0.95795,0.062167046957288766,0.0,0.0,0.3169936907889493,0.10048499999999999
REGULAR,INDEPENDENT,0.1,250,1,0.0465,0.04366783655902985,0.04950634014385705,0.0465,0.04366783655902985,0.04950634014385705,0.949,0.03932410510987655,0.0,0.0,0.3169936907889493,0.10048499999999999
REGULAR,INDEPENDENT,0.1,400,1,0.0508,0.047842039057003814,0.05393048613580057,0.0508,0.047842039057003814,0.05393048613580057,0.94915,0.03107881382099181,0.0,0.0,0.3169936907889493,0.10048499999999999
REGULAR,INDEPENDENT,0.1,500,1,0.0473,0.044443939182034535,0.05032993026316259,0.0473,0.044443939182034535,0.05032993026316259,0.951,0.027770092127258658,0.0,0.0,0.3169936907889493,0.10048499999999999
REGULAR,INDEPENDENT,0.1,800,1,0.0497,0.04677361416941829,0.052799333502709545,0.0497,0.04677361416941829,0.052799333502709545,0.9498,0.02196777910768955,0.0,0.0,0.3169936907889493,0.10048499999999999
REGULAR,INDEPENDENT,0.1,1000,1,0.0486,0.04570559716257019,0.05166777298888107,0.0486,0.04570559716257019,0.05166777298888107,0.95015,0.019655392495971178,0.0,0.0,0.3169936907889493,0.10048499999999999
REGULAR,INDEPENDENT,0.1,1200,1,0.0496,0.04667650466678262,0.05269648141255642,0.0496,0.04667650466678262,0.05269648141255642,0.9519,0.017939743921803177,0.0,0.0,0.3169936907889493,0.10048499999999999
REGULAR,INDEPENDENT,0.1,23,2,0.0506,0.047647750219849766,0.05372485178737707,0.0506,0.047647750219849766,0.05372485178737707,0.95615,0.09301067194282349,0.00875,0.0,0.22277511081806245,0.18434
REGULAR,INDEPENDENT,0.1,100,2,0.04625,0.04342535284963607,0.04924891987127887,0.04625,0.04342535284963607,0.04924891987127887,0.9504,0.04389259981054732,0.0,0.0,0.22277511081806245,0.18434
REGULAR,INDEPENDENT,0.1,250,2,0.0494,0.04648229581148323,0.052490767082278254,0.0494,0.04648229581148323,0.052490767082278254,0.9538,0.027720151914283793,0.0,0.0,0.22277511081806245,0.18434
REGULAR,INDEPENDENT,0.1,400,2,0.0503,0.04735634162979811,0.053416375599062385,0.0503,0.04735634162979811,0.053416375599062385,0.94915,0.02185522194657558,0.0,0.0,0.22277511081806245,0.18434
REGULAR,INDEPENDENT,0.1,500,2,0.05115,0.04818207592646934,0.05429031484109578,0.05115,0.04818207592646934,0.05429031484109578,0.9507,0.01953569898246661,0.0,0.0,0.22277511081806245,0.18434
REGULAR,INDEPENDENT,0.1,800,2,0.05055,0.04759918006122787,0.053673441149604574,0.05055,0.04759918006122787,0.053673441149604574,0.9504,0.015440415315034615,0.0,0.0,0.22277511081806245,0.18434
REGULAR,INDEPENDENT,0.1,1000,2,0.0486,0.04570559716257019,0.05166777298888107,0.0486,0.04570559716257019,0.05166777298888107,0.9495,0.013814498713372677,0.0,0.0,0.22277511081806245,0.18434
REGULAR,INDEPENDENT,0.1,1200,2,0.0467,0.043861840208422015,0.049712259680042434,0.0469,0.0440558585881776,0.04991816448586441,0.9476,0.012613612343331165,0.0,0.0,0.22277511081806245,0.18434
REGULAR,INDEPENDENT,0.1,23,4,0.04835,0.04546292425909533,0.05141054191038397,0.04835,0.04546292425909533,0.05141054191038397,0.9552,0.06675625330368136,0.00015,-4.336808689942018e-18,0.15782308132842926,0.31796
REGULAR,INDEPENDENT,0.1,100,4,0.05195,0.04895945128659082,0.05511263222328454,0.05195,0.04895945128659082,0.05511263222328454,0.9492,0.031163202630883284,0.0,-4.336808689942018e-18,0.15782308132842926,0.31796
REGULAR,INDEPENDENT,0.1,250,4,0.0518,0.048813677841243325,0.054958463279448866,0.0518,0.048813677841243325,0.054958463279448866,0.94755,0.019609366426756907,0.0,-4.336808689942018e-18,0.15782308132842926,0.31796
REGULAR,INDEPENDENT,0.1,400,4,0.05035,0.04740490766399351,0.05346779036126138,0.05035,0.04740490766399351,0.05346779036126138,0.95035,0.015497726128073987,0.0,-4.336808689942018e-18,0.15782308132842926,0.31796
REGULAR,INDEPENDENT,0.1,500,4,0.04835,0.04546292425909533,0.05141054191038397,0.0484,0.04551145709244874,0.05146198987342495,0.95235,0.013856663098306445,0.0,-4.336808689942018e-18,0.15782308132842926,0.31796
