scenario,K,N,target_rho,replicates,qap_permutations,final_protocol_qap_permutations,a0_rho_mean,a0_rho_mc95_width,a1_rho_mean,a1_rho_mc95_width,a2_rho_mean,a2_rho_mc95_width,omnibus_rate,omnibus_mc_se,omnibus_mc95,a0_attribution_rate,a0_attribution_mc_se,a0_attribution_mc95,a1_attribution_rate,a1_attribution_mc_se,a1_attribution_mc95,a2_attribution_rate,a2_attribution_mc_se,a2_attribution_mc95,a2_superiority_rate,a2_superiority_mc_se,a2_superiority_mc95,radial_rate,radial_mc_se,radial_mc95,mean_true_rho,a2_minus_best_static_mean
finite_specific_superiority,31,300,0.25,600,499,50000,0.00027381102379298706,0.13603470490750655,0.0008368628130396814,0.1248451789543501,0.06608675220888337,0.1280750591921107,0.43333333333333335,0.02023015717337014,"[0.39368222527352786, 0.47298444139313883]",0.03166666666666667,0.007148879736118205,"[0.017654862383874988, 0.04567847094945835]",0.02,0.005715476066494082,"[0.008797666909671601, 0.0312023330903284]",0.41333333333333333,0.020103436227375364,"[0.3739305983276776, 0.45273606833898905]",0.21,0.016628289148315892,"[0.17740855326930083, 0.24259144673069916]",0.935,0.010064376119097825,"[0.9152738228065683, 0.9547261771934318]",0.20143707511207012,0.06101700353292698
finite_specific_superiority,31,300,0.3,600,499,50000,0.003930341164995327,0.1376502359913644,0.0036773493071519856,0.12651918306796667,0.07389949941516202,0.14620214540038273,0.5233333333333333,0.020390175557342786,"[0.48336858924094145, 0.5632980774257251]",0.03,0.006964194138592059,"[0.016350179488359564, 0.04364982051164043]",0.021666666666666667,0.005943795395511499,"[0.010016827691464128, 0.03331650564186921]",0.5033333333333333,0.02041196090894131,"[0.46332588995180835, 0.5433407767148583]",0.22666666666666666,0.017092341798248364,"[0.19316567674209986, 0.2601676565912334]",0.9283333333333333,0.010530159507778561,"[0.9076942206980874, 0.9489724459685793]",0.24202622907188243,0.06563134979157868
finite_specific_superiority,31,300,0.4,600,499,50000,0.004748386672141705,0.14241874393478612,0.0052260246724982005,0.127875081328545,0.09831490721534304,0.1449968863461165,0.7966666666666666,0.016431113214918868,"[0.7644616847654256, 0.8288716485679076]",0.041666666666666664,0.008157875086438006,"[0.02567723149724817, 0.05765610183608516]",0.03166666666666667,0.007148879736118205,"[0.017654862383874988, 0.04567847094945835]",0.7816666666666666,0.01686534360203832,"[0.7486105932066716, 0.8147227401266617]",0.38166666666666665,0.019832516323041404,"[0.3427949346735055, 0.4205383986598278]",0.915,0.011385297536735697,"[0.892684816827998, 0.937315183172002]",0.3164393189022614,0.0889170632975125
finite_specific_superiority,31,300,0.5,600,499,50000,0.0035301484359473267,0.12659629178497842,0.004931500438934328,0.12139001212851214,0.1190009297006694,0.13479505712630807,0.8983333333333333,0.012337649394945239,"[0.8741515405192406, 0.922515126147426]",0.021666666666666667,0.005943795395511499,"[0.010016827691464128, 0.03331650564186921]",0.021666666666666667,0.005943795395511499,"[0.010016827691464128, 0.03331650564186921]",0.8983333333333333,0.012337649394945239,"[0.8741515405192406, 0.922515126147426]",0.5883333333333334,0.020091342340347422,"[0.5489543023462524, 0.6277123643204143]",0.935,0.010064376119097825,"[0.9152738228065683, 0.9547261771934318]",0.394350821668807,0.11039044561367492
finite_specific_superiority,31,300,0.6,600,499,50000,0.0017628716268644389,0.1391714624950911,0.0029970670180727143,0.12283255817478689,0.14439941204849088,0.13901858375883788,0.9866666666666667,0.004682512779045658,"[0.9774889416197372, 0.9958443917135962]",0.018333333333333333,0.005476802933315236,"[0.007598799584035471, 0.029067867082631198]",0.016666666666666666,0.005226357700618549,"[0.006423005573454309, 0.026910327759879026]",0.985,0.004962358310319804,"[0.9752737777117731, 0.9947262222882268]",0.77,0.017180415206468864,"[0.7363263861953211, 0.8036736138046789]",0.9416666666666667,0.009568224805361021,"[0.9229129460481591, 0.9604203872851742]",0.46992985629399053,0.13779769230160235
finite_specific_superiority,32,300,0.25,600,499,50000,0.0016571381109960084,0.11882738619254306,0.0011384899917913196,0.11946385488694686,0.06541977660781026,0.12313740910983818,0.47333333333333333,0.020383362859976797,"[0.4333819421277788, 0.5132847245388878]",0.02,0.005715476066494082,"[0.008797666909671601, 0.0312023330903284]",0.018333333333333333,0.005476802933315236,"[0.007598799584035471, 0.029067867082631198]",0.46166666666666667,0.020352336293226695,"[0.42177608753194235, 0.501557245801391]",0.175,0.01551209205748857,"[0.1445962995673224, 0.20540370043267758]",0.9083333333333333,0.011780201532577793,"[0.8852441383294809, 0.9314225283371858]",0.20248347112653112,0.0591426147636711
finite_specific_superiority,32,300,0.3,600,499,50000,8.16788328973414e-05,0.12507707876321167,-4.861834778873031e-05,0.12229287178488385,0.07515788528134922,0.12878504953343678,0.6066666666666667,0.019942509964989454,"[0.5675793471352873, 0.645753986198046]",0.016666666666666666,0.005226357700618549,"[0.006423005573454309, 0.026910327759879026]",0.02,0.005715476066494082,"[0.008797666909671601, 0.0312023330903284]",0.5983333333333334,0.02001376840892104,"[0.5591063472518482, 0.6375603194148186]",0.25,0.017677669529663688,"[0.21535176772185916, 0.28464823227814084]",0.9016666666666666,0.01215619793143186,"[0.8778405187210602, 0.9254928146122731]",0.24252051966409083,0.07038277201562966
finite_specific_superiority,32,300,0.4,600,499,50000,-0.0008326604061393208,0.129515378220459,-0.00014638588153812092,0.12841621548836185,0.10038683652999711,0.124637254197671,0.8616666666666667,0.014094752109811546,"[0.8340409525314361, 0.8892923808018973]",0.021666666666666667,0.005943795395511499,"[0.010016827691464128, 0.03331650564186921]",0.021666666666666667,0.005943795395511499,"[0.010016827691464128, 0.03331650564186921]",0.855,0.014374456511465052,"[0.8268260652375284, 0.8831739347624715]",0.46166666666666667,0.020352336293226695,"[0.42177608753194235, 0.501557245801391]",0.935,0.010064376119097825,"[0.9152738228065683, 0.9547261771934318]",0.3192855497271673,0.09584096656930456
finite_specific_superiority,32,300,0.5,600,499,50000,4.880897685812097e-05,0.12287654016267915,0.0017862593402317973,0.12181802727822483,0.12418893279072016,0.1326435370103866,0.9616666666666667,0.007838355364157381,"[0.9463034901529181, 0.9770298431804152]",0.013333333333333334,0.004682512779045662,"[0.004155608286403836, 0.022511058380262832]",0.011666666666666667,0.004383787471193442,"[0.0030744432231275213, 0.02025889011020581]",0.96,0.008000000000000004,"[0.9443199999999999, 0.97568]",0.6583333333333333,0.019361928087338286,"[0.6203839542821503, 0.6962827123845163]",0.9316666666666666,0.010300800040845446,"[0.9114770985866095, 0.9518562347467238]",0.3958949466594288,0.11840419057668848
finite_specific_superiority,32,300,0.6,600,499,50000,-0.0005734240292230647,0.11692046419434313,-0.0002960794265362004,0.11458335823963964,0.14478747842366804,0.12647347678074713,0.9966666666666667,0.002353090953838585,"[0.9920546083971431, 1.0]",0.02,0.005715476066494082,"[0.008797666909671601, 0.0312023330903284]",0.016666666666666666,0.005226357700618549,"[0.006423005573454309, 0.026910327759879026]",0.9966666666666667,0.002353090953838585,"[0.9920546083971431, 1.0]",0.82,0.015684387141358124,"[0.789258601202938, 0.8507413987970619]",0.9216666666666666,0.01096944409273796,"[0.9001665562449003, 0.943166777088433]",0.47524571582312386,0.1402966525766168
