scenario,K,N,target_rho,replicates,qap_permutations,final_protocol_qap_permutations,a0_rho_mean,a0_rho_mc95_width,a1_rho_mean,a1_rho_mc95_width,a2_rho_mean,a2_rho_mc95_width,omnibus_rate,omnibus_mc_se,omnibus_mc95,a2_attribution_rate,a2_attribution_mc_se,a2_attribution_mc95,a2_superiority_rate,a2_superiority_mc_se,a2_superiority_mc95,radial_rate,radial_mc_se,radial_mc95,mean_true_rho,a2_minus_best_static_mean
correlated_metric_ladder,31,300,0.0,600,499,50000,0.009809691277133848,0.13705972802365687,0.009968725733639579,0.13364865850455093,0.010798205358045175,0.11623332295528456,0.065,0.010064376119097829,"[0.04527382280656826, 0.08472617719343174]",0.03666666666666667,0.007672702937711741,"[0.021628168908751653, 0.05170516442458168]",0.0,0.0,"[0.0, 0.0]",0.925,0.010752906583803281,"[0.9039243030957456, 0.9460756969042545]",0.019927586743973987,-0.003954270628597567
correlated_metric_ladder,31,300,0.1,600,499,50000,0.04122207693403483,0.12730746189205416,0.03932857813448227,0.11651532802297906,0.05188797049043614,0.10412442532886372,0.32666666666666666,0.019146607861252933,"[0.2891393152586109, 0.3641940180747224]",0.23333333333333334,0.017266966964355614,"[0.19949007808319633, 0.2671765885834703]",0.0,0.0,"[0.0, 0.0]",0.91,0.011683321445547921,"[0.8871006899667261, 0.932899310033274]",0.09622375670551127,0.006963317474530995
correlated_metric_ladder,31,300,0.2,600,499,50000,0.07605785914202556,0.1380657799827681,0.0719189145259406,0.13754757687665367,0.0998789742376319,0.11013566924945778,0.8616666666666667,0.014094752109811546,"[0.8340409525314361, 0.8892923808018973]",0.8483333333333334,0.014643763683384636,"[0.8196315565138995, 0.8770351101527672]",0.0016666666666666668,0.0016652771985913182,"[0.0, 0.00493060997590565]",0.94,0.009695359714832662,"[0.9209970949589279, 0.959002905041072]",0.18910201398072246,0.021047905933128396
correlated_metric_ladder,31,300,0.25,600,499,50000,0.09484893536221532,0.14116435926138513,0.0894760365438267,0.13024915177391885,0.1208846968725786,0.1094129213044578,0.9716666666666667,0.0067737920885763275,"[0.9583900341730571, 0.9849432991602762]",0.965,0.00750277726356492,"[0.9502945565634128, 0.9797054434365872]",0.0,0.0,"[0.0, 0.0]",0.9333333333333333,0.01018350154434631,"[0.9133736703064146, 0.9532929963602521]",0.23718456636367538,0.0234330488878872
correlated_metric_ladder,31,300,0.3,600,499,50000,0.11268996696878442,0.13527690145706409,0.10579501850884328,0.13227739144816086,0.14480098883537676,0.1208650622892464,0.995,0.002879525423861834,"[0.9893561301692309, 1.0]",0.9933333333333333,0.0033222036417169115,"[0.9868218141955681, 0.9998448524710984]",0.0016666666666666668,0.0016652771985913182,"[0.0, 0.00493060997590565]",0.94,0.009695359714832662,"[0.9209970949589279, 0.959002905041072]",0.28267674452698194,0.029832141919233182
correlated_metric_ladder,31,300,0.4,600,499,50000,0.15054237624703382,0.13089190049175703,0.14228915756145516,0.12300056288887144,0.19248720420258164,0.11547855855554798,1.0,0.0,"[1.0, 1.0]",1.0,0.0,"[1.0, 1.0]",0.005,0.0028795254238618328,"[0.0, 0.010643869830769193]",0.9316666666666666,0.010300800040845446,"[0.9114770985866095, 0.9518562347467238]",0.3769428102039939,0.04044294990947123
correlated_metric_ladder,32,300,0.0,600,499,50000,0.005626437773626125,0.12279519872698152,0.0035879279970316273,0.12111567317537003,0.008158370057673612,0.1010184183291432,0.03833333333333333,0.007838355364157381,"[0.022970156819584864, 0.0536965098470818]",0.015,0.004962358310319802,"[0.005273777711773188, 0.02472622228822681]",0.0,0.0,"[0.0, 0.0]",0.925,0.010752906583803281,"[0.9039243030957456, 0.9460756969042545]",0.015983783607477382,-0.001768276181388975
correlated_metric_ladder,32,300,0.1,600,499,50000,0.041216051606034226,0.11840611380653289,0.034384150461859185,0.12241202313451609,0.05295568356339255,0.10261402385676144,0.33,0.019196353820452466,"[0.2923751465119132, 0.3676248534880868]",0.245,0.01755823643384115,"[0.21058585658967136, 0.27941414341032866]",0.0,0.0,"[0.0, 0.0]",0.9,0.01224744871391589,"[0.8759950005207249, 0.9240049994792752]",0.09600744865084938,0.00903101195073012
correlated_metric_ladder,32,300,0.2,600,499,50000,0.0769988926369044,0.1136449611554939,0.06525215827516838,0.11876489712418693,0.09915260755733431,0.10745859363725443,0.8816666666666667,0.013186518087018241,"[0.8558210912161109, 0.9075122421172225]",0.855,0.014374456511465052,"[0.8268260652375284, 0.8831739347624715]",0.0,0.0,"[0.0, 0.0]",0.91,0.011683321445547921,"[0.8871006899667261, 0.932899310033274]",0.189502935583524,0.02073519992232032
correlated_metric_ladder,32,300,0.25,600,499,50000,0.0959181526243914,0.12109049437484143,0.08120735196378029,0.12542355673520747,0.12247888608913032,0.10705983033898094,0.985,0.004962358310319804,"[0.9752737777117731, 0.9947262222882268]",0.9766666666666667,0.0061629117697303976,"[0.9645873595979951, 0.9887459737353382]",0.0,0.0,"[0.0, 0.0]",0.9316666666666666,0.010300800040845446,"[0.9114770985866095, 0.9518562347467238]",0.23676238630872892,0.025754962895916864
