candidate_id,generation_index,medium_pass,strong_pass,medium_validity,strong_validity,medium_evaluability,strong_evaluability,medium_truncation,strong_truncation,medium_movement,strong_movement
V4_DIRECTION_05,5,True,False,1.0,0.9166666666666666,1.0,0.9166666666666666,0.0,0.08333333333333333,0.125,0.2916666666666667
V4_DIRECTION_12,12,False,True,1.0,1.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.20833333333333334
V4_DIRECTION_14,14,False,True,1.0,1.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.3333333333333333
V4_DIRECTION_16,16,True,False,1.0,0.8333333333333334,1.0,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.7083333333333334
V4_DIRECTION_21,21,True,False,1.0,0.625,1.0,0.625,0.0,0.041666666666666664,0.2916666666666667,1.0
V4_DIRECTION_25,25,False,True,1.0,1.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.2916666666666667
V4_DIRECTION_27,27,True,False,1.0,0.9166666666666666,1.0,0.9166666666666666,0.0,0.08333333333333333,0.20833333333333334,0.5
V4_DIRECTION_36,36,True,False,1.0,0.9166666666666666,1.0,0.9166666666666666,0.0,0.08333333333333333,0.375,0.4583333333333333
V4_DIRECTION_38,38,False,False,1.0,0.9166666666666666,1.0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.6666666666666666
