K,N,target_rho,mean_true_rho,a0_rho_mean,a1_rho_mean,a2_rho_mean,a2_minus_best_static_mean,omnibus_rate,a2_attribution_rate,a2_superiority_rate,replicates,qap_permutations
16,200,0.25,0.19576686459707854,-0.0003668263420605228,-0.0009057094953899402,0.06775977096019044,0.0629979286157186,0.125,0.125,0.08333333333333333,120,499
16,200,0.3,0.22115057179896755,-0.0022593713007077677,0.0002344164390901987,0.06149160693923223,0.05742930135447753,0.14166666666666666,0.125,0.09166666666666666,120,499
16,200,0.4,0.2956904414658426,-0.006485894104184223,-0.005385493581893217,0.0915005919437455,0.09212922779846473,0.24166666666666667,0.24166666666666667,0.20833333333333334,120,499
16,200,0.5,0.38678177882723347,-0.016689258890797358,-0.016603301716654494,0.10852677802442405,0.12013136873341199,0.325,0.325,0.25,120,499
16,200,0.6,0.47122337778086454,-0.02066236337652052,-0.018587673501475485,0.13917414744271178,0.15406972993823845,0.4666666666666667,0.4666666666666667,0.43333333333333335,120,499
16,300,0.25,0.20839334907516732,0.002672742050631238,0.0029550697369157136,0.05806545967894574,0.049421501462179454,0.15833333333333333,0.15,0.09166666666666666,120,499
16,300,0.3,0.24130408361691788,-0.00708327978668427,-0.008572482953707083,0.07400286522014726,0.07711008496360577,0.175,0.16666666666666666,0.15,120,499
16,300,0.4,0.33585981086649547,-0.014340846708821716,-0.012113512169317948,0.11926216862582409,0.1276354604246731,0.3416666666666667,0.3416666666666667,0.31666666666666665,120,499
16,300,0.5,0.40339557723916025,-0.005860419495550384,-0.006403460797422853,0.13299331826648458,0.134397045699936,0.4166666666666667,0.4166666666666667,0.30833333333333335,120,499
16,300,0.6,0.4889218001250088,-0.016546792548850477,-0.015191338943033667,0.15478732309829407,0.1652319094336389,0.5833333333333334,0.5833333333333334,0.4666666666666667,120,499
20,200,0.25,0.19039709512291492,0.018078950160401404,0.022048688031983368,0.054828854258258106,0.02699057537002399,0.15833333333333333,0.1,0.09166666666666666,120,499
20,200,0.3,0.2164319539395318,0.007125371352679821,0.005744061222200552,0.053455122874485034,0.03899803238890601,0.15833333333333333,0.11666666666666667,0.09166666666666666,120,499
20,200,0.4,0.284861543037349,0.03718607327534378,0.03712553910670375,0.0764202898386716,0.0321785333169682,0.3333333333333333,0.23333333333333334,0.075,120,499
20,200,0.5,0.3639502041899397,0.027693860552535348,0.023995699879947964,0.09485418873994125,0.06138380274251099,0.4,0.36666666666666664,0.15,120,499
20,200,0.6,0.4174233868557374,0.015710034406547283,0.014860326081575692,0.11826397305093814,0.09557099907982791,0.5583333333333333,0.55,0.325,120,499
20,300,0.25,0.20510165757616844,0.013548260993204553,0.01437422929780748,0.06340971710551442,0.04139254536922163,0.18333333333333332,0.125,0.10833333333333334,120,499
20,300,0.3,0.24185573007562536,0.014001479519453847,0.014988797967452318,0.0764252978025357,0.05424707160871635,0.275,0.25,0.18333333333333332,120,499
20,300,0.4,0.3106946686086945,0.026156422360516185,0.024586656907419523,0.09439904147427519,0.061129301787754775,0.45,0.39166666666666666,0.21666666666666667,120,499
20,300,0.5,0.38978498456729377,0.042298449174303164,0.04327263192443952,0.12482409390948224,0.07424139118232649,0.6416666666666667,0.5916666666666667,0.25,120,499
20,300,0.6,0.46294970993510537,0.029328842413991484,0.02518077521190787,0.1419268190268174,0.10650212508673282,0.6916666666666667,0.6666666666666666,0.3333333333333333,120,499
24,200,0.25,0.19095546106172379,0.0072367462232134135,0.006489406361730658,0.055075166122310705,0.04211735793876463,0.21666666666666667,0.19166666666666668,0.15,120,499
24,200,0.3,0.22960732343050658,-0.0021656958304806942,-0.0013773944625730858,0.06171080937985914,0.05683405728790122,0.21666666666666667,0.20833333333333334,0.18333333333333332,120,499
24,200,0.4,0.2975618355902455,0.0014671663192208004,0.001187930765428718,0.0879360879639116,0.08073965847645002,0.5166666666666667,0.5083333333333333,0.325,120,499
24,200,0.5,0.3648462136670424,-0.00031632688411570065,0.0009783897926982144,0.10514455953932135,0.09898298850817662,0.6833333333333333,0.65,0.4083333333333333,120,499
24,200,0.6,0.43770405197794926,0.009156310551322806,0.009470146887966994,0.12398243180268323,0.10821390522654832,0.7916666666666666,0.775,0.425,120,499
24,300,0.25,0.2066058108950119,-0.0001596558076833371,0.0016478380842912374,0.06153071997311927,0.05351404891473017,0.2916666666666667,0.24166666666666667,0.21666666666666667,120,499
24,300,0.3,0.23591444661653416,-0.0013714810583897795,0.00121929064593327,0.07349322124152795,0.06679378132054632,0.38333333333333336,0.375,0.225,120,499
24,300,0.4,0.3245382890274586,0.0006702284422753955,0.0012736382131488097,0.10337670183161132,0.0961946278165744,0.65,0.6333333333333333,0.38333333333333336,120,499
24,300,0.5,0.39818885052058806,0.0012082574998272047,0.0011734050415084284,0.12797876626632212,0.11949969470071362,0.7916666666666666,0.7833333333333333,0.5583333333333333,120,499
24,300,0.6,0.4763595315896367,0.0032403802292233683,0.0027443477074196284,0.14821808347188942,0.1394863361399701,0.9083333333333333,0.9,0.6333333333333333,120,499
32,200,0.25,0.18989457394415374,0.0008197421933843293,0.0013975384105364302,0.05346498183363055,0.04663387169207809,0.4,0.375,0.125,120,499
32,200,0.3,0.22462120761388146,0.0010049015857063236,0.0011724933014207852,0.06334581315283085,0.05631379432641666,0.48333333333333334,0.4666666666666667,0.19166666666666668,120,499
32,200,0.4,0.2932709674469102,0.0031900296326314434,0.003325294881413579,0.08590584601531802,0.07628321431024651,0.7333333333333333,0.7333333333333333,0.3,120,499
32,200,0.5,0.3621888847749253,0.003884272635614597,0.0015743691640886823,0.09814043154509161,0.08998952300092317,0.8416666666666667,0.8416666666666667,0.4,120,499
32,200,0.6,0.43131423970673183,0.0008487072515628784,-0.0006834741488984365,0.11275777116592561,0.10647550819422853,0.9333333333333333,0.9333333333333333,0.55,120,499
32,300,0.25,0.2030865000199962,-0.0034459493249031146,-0.003736368019656901,0.06393649905524315,0.06207073847525132,0.4666666666666667,0.4583333333333333,0.18333333333333332,120,499
32,300,0.3,0.2436663988492703,-0.0008370427802365907,-0.00034525209978267685,0.07467392158254475,0.06878733263826722,0.6,0.5666666666666667,0.25,120,499
32,300,0.4,0.3199493589100586,-0.0009329979251258296,-0.00360902587022121,0.09795559491542624,0.09361148545040417,0.8,0.7916666666666666,0.4166666666666667,120,499
32,300,0.5,0.39037936440736315,0.003200972966009816,0.0002274314723476667,0.11723414099816752,0.10992594544467525,0.9583333333333334,0.9583333333333334,0.5666666666666667,120,499
32,300,0.6,0.4714003411967406,-0.0013704669871883012,-0.0038050465200405495,0.14119379794638479,0.13732895635801215,0.9916666666666667,0.9916666666666667,0.8333333333333334,120,499
