left,right,pair_class,behavioral_D,M0_FLAT,M1_WHITENED,M2_FINITE_SECANT
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_PROMPT_BOUNDARY_PLUS,MEANINGFUL_MEANINGFUL,0.016666666666666666,1.4618231601570058,1.4440496292418392,0.04058509357508425
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,NULL_V2_R0,MEANINGFUL_NULL,0.016666666666666666,1.4142135623730951,1.4138072964662578,6.5742963939222125
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,NULL_V2_R1,MEANINGFUL_NULL,0.016666666666666666,1.4142135623730951,1.4095922948689137,6.9762983976677795
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,NULL_V2_R2,MEANINGFUL_NULL,-0.008333333333333333,1.4142135623730951,1.4154274356095906,7.417635458471017
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,NULL_V2_R3,MEANINGFUL_NULL,0.016666666666666666,1.4142135623730951,1.4123847594791032,7.3371727777032065
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEANINGFUL_MEANINGFUL,0.008333333333333333,1.483953541286355,1.470211253684564,0.030573587754359182
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,MEANINGFUL_MEANINGFUL,0.016666666666666666,1.3408511801477772,1.3559051845683248,0.04935607981532424
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_EXECUTION_BOUNDARY_MINUS,MEANINGFUL_MEANINGFUL,0.016666666666666666,1.5955909537843689,1.5949884267818855,0.07426967265955849
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_EXECUTION_BOUNDARY_PLUS,MEANINGFUL_MEANINGFUL,0.0,1.2058563381271783,1.2066531889618684,0.02261542507100179
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_PROMPT_BOUNDARY_MINUS,MEANINGFUL_MEANINGFUL,0.008333333333333333,1.4224284315448428,1.4153686083222656,0.06455715773062788
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_DECOMPOSE_THEN_SOLVE_PROMPT_BOUNDARY_PLUS,MEANINGFUL_MEANINGFUL,0.03333333333333333,1.4059506951287015,1.4130575722793084,0.07549042778548294
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_EXPLICIT_STATE_TRACKING_EXECUTION_BOUNDARY_MINUS,MEANINGFUL_MEANINGFUL,0.008333333333333333,1.4963534788376411,1.4913131054068647,0.03973653723680668
