family,metric,controllers,train_edges,test_edges,spearman,pearson,raw_last_feature_spearman,raw_last_feature_pearson,prediction_spearman,prediction_pearson,rmse,constant_rmse,rmse_ratio,spearman_ci_low,spearman_ci_high,rmse_ci_low,rmse_ci_high
COUNTERFACTUAL_CHECKING,M0_FLAT,4,190,80,-0.0049920903612308025,0.013189787049173389,-0.0049920903612308025,0.013189787049173389,-0.0049920903612308025,0.013189787049173446,0.014040072655627492,0.013685510790676524,1.0259078283868308,-0.13310135166931442,0.1067622996478432,0.011601477003507632,0.028498517807365908
DECOMPOSE_THEN_SOLVE,M0_FLAT,4,190,80,0.3794781452181398,0.419204934652818,0.3794781452181398,0.419204934652818,0.3794781452181398,0.419204934652818,0.017174819008465896,0.01760704083718121,0.9754517620131498,0.155373469243536,0.44049640763608655,0.012934356614418113,0.0331605547330405
EXPLICIT_STATE_TRACKING,M0_FLAT,4,190,80,0.26515205959013327,0.31273678596715276,0.26515205959013327,0.31273678596715276,0.26515205959013327,0.31273678596715276,0.019734711794634305,0.020259692496261885,0.9740874299190649,0.08963828532951951,0.3243761466852134,0.013771282210192307,0.03547203331652096
INDEPENDENT_VERIFICATION,M0_FLAT,4,190,80,0.1959645186608808,0.2123068159736911,0.1959645186608808,0.2123068159736911,0.1959645186608808,0.21230681597369114,0.016930732663511628,0.0171894576587342,0.9849486237228019,0.053855404423513754,0.2661466051917003,0.01315671553102454,0.03288027252134421
INVARIANT_CHECKING,M0_FLAT,4,190,80,0.24769604084731722,0.18980498524561945,0.24769604084731722,0.18980498524561945,0.24769604084731722,0.18980498524561942,0.014414826912413727,0.014793255640142073,0.9744188340326205,-0.018011148983507905,0.3258928296942452,0.012108998057347796,0.02980779159543518
TYPE_REPRESENTATION_DISCIPLINE,M0_FLAT,4,190,80,0.12465183446684573,0.1430877804225707,0.12465183446684573,0.1430877804225707,0.12465183446684573,0.14308778042257064,0.014235149682117844,0.014295554584780074,0.9957745673800903,-0.014405679470479198,0.20888115666445212,0.01192183438829153,0.028447749527048063
COUNTERFACTUAL_CHECKING,M1_WHITENED,4,190,80,0.025629248600960053,0.028851874168773106,0.025629248600960053,0.028851874168773106,0.025629248600960053,0.028851874168773075,0.013913083851764171,0.013685510790676524,1.016628759026129,-0.11097265152997882,0.12765504691666515,0.011549467524345125,0.02837963801978586
DECOMPOSE_THEN_SOLVE,M1_WHITENED,4,190,80,0.3628329026264059,0.4061121390870253,0.3628329026264059,0.4061121390870253,0.3628329026264059,0.40611213908702526,0.017246318220911026,0.01760704083718121,0.9795125927402611,0.1501991651160361,0.42130604515745373,0.01296297679393632,0.03323170937985195
EXPLICIT_STATE_TRACKING,M1_WHITENED,4,190,80,0.2455032656864754,0.30634043858694743,0.2455032656864754,0.30634043858694743,0.2455032656864754,0.30634043858694743,0.01979745806390138,0.020259692496261885,0.9771845287165246,0.0785038655145848,0.30921872768425784,0.013788873880736121,0.03552938727269781
INDEPENDENT_VERIFICATION,M1_WHITENED,4,190,80,0.16989617147647426,0.19270054201881687,0.16989617147647426,0.19270054201881687,0.16989617147647426,0.192700542018817,0.016990614582245565,0.0171894576587342,0.9884322658436172,0.04268372389927936,0.24104128156116553,0.013188539397774141,0.03297778627433257
INVARIANT_CHECKING,M1_WHITENED,4,190,80,0.2241036675361103,0.1829300605074622,0.2241036675361103,0.1829300605074622,0.2241036675361103,0.1829300605074622,0.014427488987653643,0.014793255640142073,0.9752747697068178,-0.00811965787939085,0.29008435820590833,0.012107943326881017,0.029842427925292712
TYPE_REPRESENTATION_DISCIPLINE,M1_WHITENED,4,190,80,0.1131029279044504,0.12309836678902242,0.1131029279044504,0.12309836678902242,0.1131029279044504,0.12309836678902247,0.014296426213804914,0.014295554584780074,1.000060972032926,-0.02513336300545147,0.20194300355141914,0.011950683205006902,0.02853769228571286
COUNTERFACTUAL_CHECKING,M2_FINITE_SECANT,4,190,80,0.3785218815184451,0.35969117467039136,0.3785218815184451,0.35969117467039136,0.3785218815184451,0.3596911746703914,0.013143346359991485,0.013685510790676524,0.9603840558838039,0.0637166291279407,0.48732398926670417,0.011069293054554723,0.02812936989440936
DECOMPOSE_THEN_SOLVE,M2_FINITE_SECANT,4,190,80,0.41854878161162673,0.4953019210388948,0.41854878161162673,0.4953019210388948,0.41854878161162673,0.4953019210388948,0.015577858281198745,0.01760704083718121,0.8847516414173703,0.13966640343554984,0.46248614876035926,0.012259222060328574,0.03114005831752525
EXPLICIT_STATE_TRACKING,M2_FINITE_SECANT,4,190,80,0.5242912781674759,0.531954354760262,0.5242912781674759,0.531954354760262,0.5242912781674759,0.5319543547602619,0.018234565316359298,0.020259692496261885,0.9000415637958847,0.1407459514264934,0.6486959833612707,0.013238582946602552,0.03377231924281637
INDEPENDENT_VERIFICATION,M2_FINITE_SECANT,4,190,80,0.33209138073702593,0.4107971237284382,0.33209138073702593,0.4107971237284382,0.33209138073702593,0.4107971237284382,0.015491295891333285,0.0171894576587342,0.9012091131020613,-0.0279649061915871,0.4850519912391809,0.012811731130470823,0.03144597659271715
INVARIANT_CHECKING,M2_FINITE_SECANT,4,190,80,0.3863777831894763,0.34877689044226734,0.3863777831894763,0.34877689044226734,0.3863777831894763,0.34877689044226723,0.013285107589955592,0.014793255640142073,0.8980516468535795,0.04027230427863969,0.46555233400898505,0.011480141320405098,0.028880247865564784
