left,right,same_family,same_source_location,same_direction_base,same_sign,dose_left,dose_right,same_dose,dose_difference,dose_mean,delta_norm_difference,delta_norm_mean,semantic_movement_difference,semantic_movement_mean,behavioral_D,M0_FLAT,M1_WHITENED,M2_FINITE_SECANT
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,True,True,True,False,D_LOW,D_LOW,True,0.0,0.25,0.0,11.00075036005411,0.0,0.0,0.016666666666666666,1.9999999999999998,2.0,0.038856159047537725
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,True,False,False,True,D_LOW,D_LOW,True,0.0,0.25,3.181789773205076,9.409855473451572,0.0,0.0,0.008333333333333333,1.3408511801477774,1.3559051845683248,0.02158879599471162
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,True,False,False,False,D_LOW,D_VERY_HIGH,False,0.75,0.625,20.275091987342023,21.13829635372512,0.16666666666666666,0.08333333333333333,0.016666666666666666,1.4839535412863547,1.470211253684564,0.06381897434218098
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_DECOMPOSE_THEN_SOLVE_EXECUTION_BOUNDARY_MINUS,False,True,False,True,D_LOW,D_VERY_HIGH,False,0.75,0.625,21.770040059531073,21.885770389819648,0.16666666666666666,0.08333333333333333,0.008333333333333333,1.2058563381271783,1.2066531889618684,0.056953028687766465
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_DECOMPOSE_THEN_SOLVE_EXECUTION_BOUNDARY_PLUS,False,True,False,False,D_LOW,D_LOW,True,0.0,0.25,2.8080527551578136,9.596723982475202,0.0,0.0,0.008333333333333333,1.5955909537843689,1.5949884267818855,0.03235615878818514
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_DECOMPOSE_THEN_SOLVE_PROMPT_BOUNDARY_MINUS,False,False,False,True,D_LOW,D_MEDIUM,False,0.25,0.375,17.673515622771625,19.83750817143992,0.16666666666666666,0.08333333333333333,0.041666666666666664,1.4059506951287015,1.4130575722793084,0.0565912229181788
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_DECOMPOSE_THEN_SOLVE_PROMPT_BOUNDARY_PLUS,False,False,False,False,D_LOW,D_HIGH,False,0.5,0.5,32.01064861418449,27.006074667146358,0.25,0.125,0.0,1.4224284315448428,1.4153686083222656,0.0843692168958655
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_EXPLICIT_STATE_TRACKING_EXECUTION_BOUNDARY_MINUS,False,True,False,True,D_LOW,D_LOW,True,0.0,0.25,0.4217773593087717,11.211639039708494,0.0,0.0,0.016666666666666666,1.326998969996017,1.332660955247708,0.02860326349836166
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_EXPLICIT_STATE_TRACKING_EXECUTION_BOUNDARY_PLUS,False,True,False,False,D_LOW,D_LOW,True,0.0,0.25,0.4217773593087717,11.211639039708494,0.0,0.0,-0.016666666666666666,1.4963534788376407,1.4913131054068647,0.038670023042711076
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_EXPLICIT_STATE_TRACKING_PROMPT_BOUNDARY_MINUS,False,False,False,True,D_LOW,D_MEDIUM,False,0.25,0.375,22.399178081230584,22.2003394006694,0.16666666666666666,0.08333333333333333,0.041666666666666664,1.399248712951107,1.4129948830867511,0.07204331520775885
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_EXPLICIT_STATE_TRACKING_PROMPT_BOUNDARY_PLUS,False,False,False,False,D_LOW,D_VERY_HIGH,False,0.75,0.625,55.799106522515274,38.90030362131175,0.16666666666666666,0.08333333333333333,0.008333333333333333,1.4290217070795916,1.4154311923829639,0.15364461481432806
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_INDEPENDENT_VERIFICATION_EXECUTION_BOUNDARY_MINUS,False,True,False,True,D_LOW,D_VERY_HIGH,False,0.75,0.625,40.28391616805152,31.142708444079872,0.16666666666666666,0.08333333333333333,0.016666666666666666,1.0819517853616256,1.0770489440667923,0.09044099168212599
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_INDEPENDENT_VERIFICATION_EXECUTION_BOUNDARY_PLUS,False,True,False,False,D_LOW,D_LOW,True,0.0,0.25,1.8204162719722987,11.910958496040259,0.0,0.0,0.016666666666666666,1.6820761974871385,1.6852197399996856,0.039320971909453314
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_INDEPENDENT_VERIFICATION_PROMPT_BOUNDARY_MINUS,False,False,False,True,D_LOW,D_VERY_HIGH,False,0.75,0.625,43.88968692796395,32.94559382403609,0.25,0.125,0.041666666666666664,1.3592999709308196,1.3530524526077818,0.10066349961350535
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_INDEPENDENT_VERIFICATION_PROMPT_BOUNDARY_PLUS,False,False,False,False,D_LOW,D_VERY_HIGH,False,0.75,0.625,43.88968692796395,32.94559382403609,0.16666666666666666,0.08333333333333333,0.025,1.467073136904726,1.4728370787334444,0.09942674003116808
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_INVARIANT_CHECKING_EXECUTION_BOUNDARY_MINUS,False,True,False,True,D_LOW,D_LOW,True,0.0,0.25,0.348708817261306,10.826395951423457,0.0,0.0,-0.008333333333333333,1.0107344016697803,1.0095818730435455,0.022949023463926983
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_INVARIANT_CHECKING_EXECUTION_BOUNDARY_PLUS,False,True,False,False,D_LOW,D_HIGH,False,0.5,0.5,20.955374268324302,21.47843749421626,0.16666666666666666,0.08333333333333333,0.025,1.7258087869984993,1.7264832584250234,0.051916069196717374
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_INVARIANT_CHECKING_PROMPT_BOUNDARY_MINUS,False,False,False,True,D_LOW,D_LOW,True,0.0,0.25,0.859110814022749,11.430305767065484,0.0,0.0,0.008333333333333333,1.4216972273252817,1.4351180953509814,0.030313306992932734
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_INVARIANT_CHECKING_PROMPT_BOUNDARY_PLUS,False,False,False,False,D_LOW,D_MEDIUM,False,0.25,0.375,12.718971988099607,17.36023635410391,0.16666666666666666,0.08333333333333333,0.008333333333333333,1.4066900844946646,1.3929953526111174,0.04212104710376612
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_EXECUTION_BOUNDARY_MINUS,False,True,False,True,D_LOW,D_LOW,True,0.0,0.25,1.9335974829340365,10.033951618587091,0.0,0.0,0.016666666666666666,1.111867725126869,1.1127584737302347,0.02052104489189428
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_EXECUTION_BOUNDARY_PLUS,False,True,False,False,D_LOW,D_LOW,True,0.0,0.25,1.9335974829340365,10.033951618587091,0.0,0.0,0.025,1.6624530555240353,1.6618569671128613,0.030870900216348255
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_PROMPT_BOUNDARY_MINUS,False,False,False,True,D_LOW,D_LOW,True,0.0,0.25,2.9389032974526224,9.531298711327798,0.0,0.0,0.0,1.3649443389488762,1.3837343199785523,0.026005210122647067
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_MINUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_PROMPT_BOUNDARY_PLUS,False,False,False,False,D_LOW,D_HIGH,False,0.5,0.5,13.184790827750351,17.593145773929287,0.16666666666666666,0.08333333333333333,0.016666666666666666,1.461823160157006,1.4440496292418392,0.04058509357508425
