statistic,bin_left,bin_right,count,density
global_equal_shell_mean,0.4027155086181336,0.40480367585676097,1,0.00957777692803319
global_equal_shell_mean,0.40480367585676097,0.4068918430953884,0,0.0
global_equal_shell_mean,0.4068918430953884,0.40898001033401576,0,0.0
global_equal_shell_mean,0.40898001033401576,0.4110681775726432,1,0.009577776928032937
global_equal_shell_mean,0.4110681775726432,0.41315634481127056,1,0.00957777692803319
global_equal_shell_mean,0.41315634481127056,0.415244512049898,1,0.009577776928032937
global_equal_shell_mean,0.415244512049898,0.41733267928852535,1,0.00957777692803319
global_equal_shell_mean,0.41733267928852535,0.4194208465271528,0,0.0
global_equal_shell_mean,0.4194208465271528,0.42150901376578015,2,0.01915555385606638
global_equal_shell_mean,0.42150901376578015,0.4235971810044076,3,0.028733330784098808
global_equal_shell_mean,0.4235971810044076,0.42568534824303494,2,0.01915555385606638
global_equal_shell_mean,0.42568534824303494,0.4277735154816623,6,0.05746666156819914
global_equal_shell_mean,0.4277735154816623,0.42986168272028974,8,0.07662221542426349
global_equal_shell_mean,0.42986168272028974,0.4319498499589171,2,0.01915555385606638
global_equal_shell_mean,0.4319498499589171,0.43403801719754453,11,0.1053555462083623
global_equal_shell_mean,0.43403801719754453,0.4361261844361719,10,0.09577776928033191
global_equal_shell_mean,0.4361261844361719,0.43821435167479933,8,0.07662221542426349
global_equal_shell_mean,0.43821435167479933,0.4403025189134267,8,0.07662221542426552
global_equal_shell_mean,0.4403025189134267,0.4423906861520541,20,0.19155553856065874
global_equal_shell_mean,0.4423906861520541,0.4444788533906815,15,0.14366665392049785
global_equal_shell_mean,0.4444788533906815,0.4465670206293089,18,0.17239998470459286
global_equal_shell_mean,0.4465670206293089,0.4486551878679363,27,0.25859997705689614
global_equal_shell_mean,0.4486551878679363,0.4507433551065637,33,0.3160666386250869
global_equal_shell_mean,0.4507433551065637,0.4528315223451911,34,0.32564441555312845
global_equal_shell_mean,0.4528315223451911,0.45491968958381845,38,0.36395552326526126
global_equal_shell_mean,0.45491968958381845,0.4570078568224459,50,0.4788888464016468
global_equal_shell_mean,0.4570078568224459,0.4590960240610733,51,0.48846662332967977
global_equal_shell_mean,0.4590960240610733,0.4611841912997007,60,0.5746666156819914
global_equal_shell_mean,0.4611841912997007,0.46327235853832804,86,0.8236888158108544
global_equal_shell_mean,0.46327235853832804,0.46536052577695547,81,0.7757999311706678
