fixture_id,jvp_cosine,q_jvp,u_jvp,minimum_finite_cosine,maximum_primary_difference
G12_1_FIXTURE_00,0.9999999999999004,1.1103599683249083e-05,0.0009537856538546319,0.5265401366403485,2.5202062658991053e-14
G12_1_FIXTURE_01,0.9999999999999467,2.219271151485e-06,-0.0005737304773448804,0.12624518906013404,2.098321516541546e-14
G12_1_FIXTURE_02,0.999999999999801,3.5154427697866826e-06,-0.0005777231325704249,0.2189137372727136,2.5202062658991053e-14
G12_1_FIXTURE_03,0.9999999999989627,1.5956630242384513e-05,0.0017293313889446206,0.523865621842185,3.108624468950438e-14
G12_1_FIXTURE_04,0.9999999999996588,2.828376877281623e-06,0.0010988221694564356,0.2528551561339478,2.5646151868841116e-14
G12_1_FIXTURE_05,0.9999999999999025,3.967493467502139e-06,-0.003504564450206037,-0.3199127881999361,3.0531133177191805e-14
G12_1_FIXTURE_06,0.9999999999997922,2.420890816202209e-06,-0.0007141984649270167,0.2992146850628138,3.6193270602780103e-14
G12_1_FIXTURE_07,0.999999999999532,3.180906798305972e-06,0.0020230805171724494,-0.3509342940454945,2.2537527399890678e-14
G12_1_FIXTURE_08,0.9999999999998936,7.060251017646808e-07,0.00041615583909832997,0.2081267617902243,2.7200464103316335e-14
G12_1_FIXTURE_09,0.9999999999995042,2.3729105450268478e-06,0.0010821386743709773,0.2674865638452917,2.398081733190338e-14
G12_1_FIXTURE_10,0.9999999999995907,2.11113214696982e-06,0.0014987428979323124,0.061999751363720726,4.363176486776865e-14
G12_1_FIXTURE_11,0.9999999999995729,4.223227905569199e-06,0.0003469799985044615,0.5778240474890912,3.697042672001771e-14
