fixture_id,comparison,alpha,output_index,top1_agreement,vocabulary_js,target_logp_abs_difference,logit_cosine,max_abs_logit_difference
G12_1_FIXTURE_01,E1_NOHOOK_vs_ALPHA0,0,1,1,0.0,0.0,1.0000000000000002,0.0
G12_1_FIXTURE_01,E1_NOHOOK_vs_ALPHA0,0,2,1,0.0,0.0,0.9999999999999999,0.0
G12_1_FIXTURE_01,E2_NOHOOK_vs_ALPHA0,0,0,1,0.0,0.0,0.9999999999999998,0.0
G12_1_FIXTURE_01,E2_NOHOOK_vs_ALPHA0,0,1,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_01,E2_NOHOOK_vs_ALPHA0,0,2,1,0.0,0.0,0.9999999999999999,0.0
G12_1_FIXTURE_01,E0_vs_E1,0.01,0,1,0.0001122272547450063,0.02485126474949695,0.9999905039968174,0.125
G12_1_FIXTURE_01,E0_vs_E1,0.01,1,1,9.506694688386839e-05,0.0031676771785651425,0.9999902597489123,0.125
G12_1_FIXTURE_01,E0_vs_E1,0.01,2,1,9.100433842554979e-05,0.012007921364384444,0.9999854747132927,0.125
G12_1_FIXTURE_01,E1_vs_E2,0.01,0,1,0.00018484222237441928,0.005301989233124971,0.999991024136111,0.125
G12_1_FIXTURE_01,E1_vs_E2,0.01,1,1,0.00016049271327466867,0.004827362445702477,0.9999860418968847,0.15625
G12_1_FIXTURE_01,E1_vs_E2,0.01,2,1,0.0001043274165025456,0.012836358117192859,0.9999844856008053,0.125
G12_1_FIXTURE_01,E0_vs_E1,0.1,0,1,0.00010658559751238068,0.005670939009501552,0.9999882983060474,0.15625
G12_1_FIXTURE_01,E0_vs_E1,0.1,1,1,0.00011311002079122682,0.012524023248598581,0.9999881827169397,0.125
G12_1_FIXTURE_01,E0_vs_E1,0.1,2,1,0.00010719212748253829,0.006653217859478033,0.9999895588836835,0.09375
G12_1_FIXTURE_01,E1_vs_E2,0.1,0,1,0.00017121418307305226,0.019426898304713447,0.9999897426556847,0.125
G12_1_FIXTURE_01,E1_vs_E2,0.1,1,1,0.00012875510812356336,0.018146327288647512,0.9999789853964995,0.234375
G12_1_FIXTURE_01,E1_vs_E2,0.1,2,1,0.00014967656651441433,0.03772678235573146,0.9999874416056724,0.125
G12_1_FIXTURE_01,E0_vs_E1,97.8516893058,0,1,0.00012160485650717143,0.004249304425337996,0.9999881147887063,0.1484375
G12_1_FIXTURE_01,E0_vs_E1,97.8516893058,1,1,0.0001904178134949973,0.030846808567298822,0.9999887675387913,0.125
G12_1_FIXTURE_01,E0_vs_E1,97.8516893058,2,1,0.00011332917945576623,0.0013083679517027491,0.9999845984454812,0.1875
G12_1_FIXTURE_01,E1_vs_E2,97.8516893058,0,1,0.00012656390248042744,0.019537419009896695,0.9999876125683418,0.1875
G12_1_FIXTURE_01,E1_vs_E2,97.8516893058,1,1,0.000142821730120109,0.02421152432160234,0.9999773520173765,0.21875
G12_1_FIXTURE_01,E1_vs_E2,97.8516893058,2,1,0.00011442774092735902,0.015460393740671208,0.9999804140493302,0.140625
