fixture_id,direction_index,epsilon,jvp_cosine,jvp_norm_relative_error,fisher_relative_error,utility_relative_error,local_kl_relative_error,q_finite,u_finite,local_kl_q
G12_1_FIXTURE_00,0,0.0001,0.5265401366403548,1.1435334624016753,1.160559057762453,0.5656253288913745,8.849300103711117,2.398998286941211e-05,0.0014932709780080327,0.00010936268551179193
G12_1_FIXTURE_00,0,0.0003,0.9112212226017907,0.12759323282511276,0.6125087908017103,3.7528111305199108,1.1605801704571093,1.7904652098782233e-05,-0.0026255917640612414,2.3990217296321808e-05
G12_1_FIXTURE_00,0,0.001,0.9888790382166921,0.011774898945425582,0.18045090279944062,1.2938383759576286,0.5992827837737122,1.3107254270414963e-05,0.0021878301352495936,1.7757795811335504e-05
G12_1_FIXTURE_00,0,0.003,0.9983777479922837,0.006284122085397863,0.012826680526850827,0.34394034965648385,0.019545545862374655,1.1246022009084161e-05,0.0006257402825705317,1.1320625600095477e-05
G12_1_FIXTURE_00,0,0.01,0.9997536028207901,0.001450304284596254,0.008832127889340055,0.09474492966706227,0.037077434682773795,1.1005531270814592e-05,0.001044152008546542,1.0691906691249748e-05
G12_1_FIXTURE_00,0,0.03,0.9999807440489216,0.0004280137474137647,0.0002883840018267413,0.02111287952646351,0.004273876336950141,1.1100397582737746e-05,0.0009739228154585339,1.1056144271307878e-05
G12_1_FIXTURE_00,0,0.1,0.9999986248201789,0.00021901652928454693,0.001196588837973235,0.011316948332648102,0.002077823305280903,1.1090313239806784e-05,0.000942991710889538,1.1080528365054719e-05
G12_1_FIXTURE_01,1,0.0001,0.12624518906013532,0.6951203169383054,12.454674589317626,6.545991325669825,42.087131389974914,2.9859571168690903e-05,-0.004329365205316875,9.562202769401512e-05
G12_1_FIXTURE_01,1,0.0003,0.8846245057360682,0.24942701664063896,1.2562795964125006,2.4062183539561874,5.511812307680773,5.007296218002482e-06,-0.001954251282156176,1.4451477198320905e-05
G12_1_FIXTURE_01,1,0.001,0.9822141058201583,0.029008053126475395,0.13232803151201472,0.05984519954753004,0.5056913996526621,2.5129429343524125e-06,-0.0006080654922480844,3.341537486288225e-06
G12_1_FIXTURE_01,1,0.003,0.9963628809031024,0.047187319290182675,0.049229093656042486,0.39931662683534364,0.049405545874119404,2.3285238588496085e-06,-0.0008028305962708695,2.328915454166802e-06
G12_1_FIXTURE_01,1,0.01,0.9997506203137156,0.009507319253630155,0.0009052027014192508,0.031566696551276155,0.009445332989005366,2.217262261243494e-06,-0.000591841253225445,2.198309396466331e-06
G12_1_FIXTURE_01,1,0.03,0.9999755666258331,0.0018070117257806073,0.0016926708345358168,0.027085482112281227,0.00028190065881833574,2.2230276470370456e-06,-0.0005892702439262757,2.2186455374853e-06
G12_1_FIXTURE_01,1,0.1,0.9999978314438823,0.000660634609146602,0.0003352928510231952,0.01315403370552386,0.0020042128946628312,2.2185270457334253e-06,-0.0005812773473817612,2.2148232596264407e-06
G12_1_FIXTURE_02,0,0.0001,0.2189137372727155,2.549174746268438,14.616256044432964,22.42994284379163,70.08852635410858,5.489805440253944e-05,-0.013536019975661312,0.0002499076459863411
G12_1_FIXTURE_02,0,0.0003,0.566499743842213,0.8837699400926691,4.5656913739768,0.10284810905930561,10.837989304048774,1.9565869499510847e-05,-0.0005183054008257382,4.161577390773035e-05
