fixture_id,dtype,layer,component,token_index,max_abs_difference,rms_difference
G12_1_FIXTURE_00,BF16,12,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,12,residual,4,0.0,0.0
G12_1_FIXTURE_00,BF16,12,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,12,residual,6,0.375,0.013572513561782464
G12_1_FIXTURE_00,BF16,13,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,13,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,13,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,13,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,13,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,13,attention,5,0.0,0.0
G12_1_FIXTURE_00,BF16,13,attention,6,0.015625,0.0023392085636482966
G12_1_FIXTURE_00,BF16,13,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,13,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,13,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,13,mlp,3,0.0,0.0
G12_1_FIXTURE_00,BF16,13,mlp,4,0.0,0.0
G12_1_FIXTURE_00,BF16,13,mlp,5,0.0,0.0
G12_1_FIXTURE_00,BF16,13,mlp,6,0.025787353515625,0.0058524826362514595
G12_1_FIXTURE_00,BF16,13,residual,0,0.0,0.0
G12_1_FIXTURE_00,BF16,13,residual,1,0.0,0.0
G12_1_FIXTURE_00,BF16,13,residual,2,0.0,0.0
G12_1_FIXTURE_00,BF16,13,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,13,residual,4,0.0,0.0
G12_1_FIXTURE_00,BF16,13,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,13,residual,6,0.375,0.013837716375342073
G12_1_FIXTURE_00,BF16,14,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,14,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,14,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,14,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,14,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,14,attention,5,0.0,0.0
G12_1_FIXTURE_00,BF16,14,attention,6,0.03125,0.0040448436724131644
G12_1_FIXTURE_00,BF16,14,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,14,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,14,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,14,mlp,3,0.0,0.0
G12_1_FIXTURE_00,BF16,14,mlp,4,0.0,0.0
G12_1_FIXTURE_00,BF16,14,mlp,5,0.0,0.0
G12_1_FIXTURE_00,BF16,14,mlp,6,0.078125,0.006182228948974699
G12_1_FIXTURE_00,BF16,14,residual,0,0.0,0.0
G12_1_FIXTURE_00,BF16,14,residual,1,0.0,0.0
G12_1_FIXTURE_00,BF16,14,residual,2,0.0,0.0
G12_1_FIXTURE_00,BF16,14,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,14,residual,4,0.0,0.0
G12_1_FIXTURE_00,BF16,14,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,14,residual,6,0.375,0.014476821058125675
G12_1_FIXTURE_00,BF16,15,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,15,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,15,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,15,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,15,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,15,attention,5,0.0,0.0
G12_1_FIXTURE_00,BF16,15,attention,6,0.0859375,0.005241797757091838
G12_1_FIXTURE_00,BF16,15,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,15,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,15,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,15,mlp,3,0.0,0.0
G12_1_FIXTURE_00,BF16,15,mlp,4,0.0,0.0
G12_1_FIXTURE_00,BF16,15,mlp,5,0.0,0.0
G12_1_FIXTURE_00,BF16,15,mlp,6,0.0234375,0.00623792873891298
G12_1_FIXTURE_00,BF16,15,residual,0,0.0,0.0
