replicate,p_value_1000_maps,p_value_50000_maps
383,0.109,0.11108
384,0.28,0.2799
385,0.119,0.1205
386,0.312,0.29482
387,0.807,0.827
388,0.057,0.07244
389,0.892,0.90422
390,0.86,0.85776
391,0.387,0.4012
392,0.078,0.07894
393,0.219,0.20228
394,0.96,0.94348
395,0.011,0.00938
396,0.509,0.52846
397,0.625,0.63478
398,0.644,0.65778
399,0.995,0.99216
400,0.101,0.09768
401,0.15,0.17066
402,0.165,0.1659
403,0.508,0.50454
404,0.231,0.20856
405,0.32,0.30894
406,0.935,0.93518
407,0.119,0.13388
408,0.435,0.43616
409,0.234,0.2339
410,0.189,0.17056
411,0.445,0.46508
412,0.926,0.93636
413,0.905,0.8978
414,0.135,0.14206
415,0.729,0.74186
416,0.953,0.95448
417,0.963,0.9549
418,0.575,0.57548
419,0.828,0.80712
420,0.867,0.85578
421,0.084,0.06928
422,0.33,0.32722
423,0.27,0.27442
424,0.992,0.99262
425,0.681,0.68874
426,0.985,0.97598
427,0.832,0.82422
428,0.802,0.81362
429,0.206,0.20542
430,0.197,0.18054
431,0.145,0.14216
432,0.631,0.60952
433,0.399,0.42908
434,0.713,0.68826
435,0.145,0.15248
436,0.572,0.5844
437,0.881,0.87916
438,0.686,0.66654
439,0.791,0.8063
440,0.413,0.41796
441,0.412,0.40214
442,0.803,0.78616
443,0.594,0.59524
444,0.926,0.92402
445,0.068,0.06522
446,0.947,0.95322
447,0.293,0.28074
448,0.042,0.03624
449,0.783,0.79184
450,0.107,0.09424
451,0.798,0.80384
452,0.289,0.283
453,0.165,0.1531
454,0.017,0.01634
455,0.682,0.6902
456,0.909,0.92644
457,0.315,0.30336
458,0.495,0.49538
459,0.849,0.8495
460,0.633,0.62742
461,0.884,0.88854
462,0.702,0.70894
463,0.974,0.9817
464,0.313,0.29856
465,0.098,0.09932
466,0.69,0.69732
467,0.896,0.88934
468,0.606,0.61988
469,0.673,0.68134
470,0.549,0.5427
471,0.737,0.72456
472,0.657,0.65258
473,0.142,0.13784
474,0.096,0.08722
475,0.193,0.17554
476,0.107,0.09846
477,0.334,0.36414
478,0.951,0.9461
479,0.766,0.7581
480,0.3,0.2729
481,0.846,0.84466
482,0.547,0.53788
483,0.806,0.79028
484,0.58,0.55728
485,0.271,0.293
486,0.56,0.54542
487,0.3,0.2791
488,0.779,0.78956
489,0.46,0.43076
490,0.654,0.6525
491,0.37,0.36442
492,0.873,0.88234
493,0.16,0.1792
494,0.157,0.14214
495,0.686,0.67104
496,0.62,0.63406
497,0.982,0.98238
498,0.769,0.75144
499,0.198,0.1822
