route,S,N,R,K_reference,K_fresh,controller_split_role,rows_per_subspace_orientation,semantic_rows,projected_spark1_hours
ROUTE_2,39,150,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,1536000,753.8666666666667
ROUTE_1,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,56400,2199600,1079.560625
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,56400,2256000,1107.2416666666668
ROUTE_1,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,1497600,735.02
ROUTE_2,39,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,1536000,753.8666666666667
ROUTE_1,39,300,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,112800,4399200,2159.12125
ROUTE_2,39,300,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,112800,4512000,2214.4833333333336
ROUTE_1,39,300,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,76800,2995200,1470.04
ROUTE_2,39,300,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,76800,3072000,1507.7333333333333
ROUTE_1,79,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,18800,1485200,728.9340972222222
ROUTE_2,79,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,18800,1504000,738.1611111111112
ROUTE_1,79,100,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,12800,1011200,496.29555555555555
ROUTE_2,79,100,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,12800,1024000,502.5777777777778
ROUTE_1,79,100,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,37600,2970400,1457.8681944444445
ROUTE_2,79,100,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,37600,3008000,1476.3222222222223
ROUTE_1,79,100,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,25600,2022400,992.5911111111111
ROUTE_2,79,100,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,25600,2048000,1005.1555555555556
ROUTE_1,79,150,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,28200,2227800,1093.4011458333334
ROUTE_2,79,150,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,28200,2256000,1107.2416666666668
ROUTE_1,79,150,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,19200,1516800,744.4433333333334
ROUTE_2,79,150,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,19200,1536000,753.8666666666667
ROUTE_1,79,150,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,56400,4455600,2186.802291666667
ROUTE_2,79,150,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,56400,4512000,2214.4833333333336
ROUTE_1,79,150,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,3033600,1488.8866666666668
ROUTE_2,79,150,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,3072000,1507.7333333333333
ROUTE_1,79,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,56400,4455600,2186.802291666667
ROUTE_2,79,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,56400,4512000,2214.4833333333336
ROUTE_1,79,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,3033600,1488.8866666666668
ROUTE_2,79,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,3072000,1507.7333333333333
ROUTE_1,79,300,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,112800,8911200,4373.604583333334
ROUTE_2,79,300,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,112800,9024000,4428.966666666667
ROUTE_1,79,300,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,76800,6067200,2977.7733333333335
ROUTE_2,79,300,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,76800,6144000,3015.4666666666667
