condition,n,commitment_valid,commitment_validity,semantic_evaluable,semantic_evaluability,correct,wrong_or_primary_error,accuracy,invalid_format,truncated,runtime_error,mean_tokens,median_tokens,max_tokens,status_counts
BASELINE,240,238,0.9916666666666667,238,0.9916666666666667,94,146,0.39166666666666666,2,0,0,12.091666666666667,9.0,88,"{""INVALID_FORMAT"": 2, ""VALID_CORRECT"": 94, ""VALID_WRONG"": 144}"
TEXTUAL_CAREFUL_REFERENCE,240,238,0.9916666666666667,238,0.9916666666666667,163,77,0.6791666666666667,0,2,0,313.4291666666667,241.0,4096,"{""TRUNCATED"": 2, ""VALID_CORRECT"": 163, ""VALID_WRONG"": 75}"
BEST_SINGLE_MEAN_PLUS,240,216,0.9,216,0.9,129,111,0.5375,20,4,0,413.0375,313.0,4096,"{""INVALID_FORMAT"": 20, ""TRUNCATED"": 4, ""VALID_CORRECT"": 129, ""VALID_WRONG"": 87}"
GATE7_RANDOM_R0,240,238,0.9916666666666667,238,0.9916666666666667,106,134,0.44166666666666665,0,2,0,46.13333333333333,9.0,4096,"{""TRUNCATED"": 2, ""VALID_CORRECT"": 106, ""VALID_WRONG"": 132}"
GATE7_RANDOM_R1,240,238,0.9916666666666667,238,0.9916666666666667,99,141,0.4125,0,2,0,45.575,8.5,4096,"{""TRUNCATED"": 2, ""VALID_CORRECT"": 99, ""VALID_WRONG"": 139}"
GATE7_RANDOM_R2,240,238,0.9916666666666667,238,0.9916666666666667,90,150,0.375,2,0,0,12.15,9.0,87,"{""INVALID_FORMAT"": 2, ""VALID_CORRECT"": 90, ""VALID_WRONG"": 148}"
GATE7_RANDOM_R3,240,239,0.9958333333333333,239,0.9958333333333333,103,137,0.42916666666666664,0,1,0,29.708333333333332,9.0,4096,"{""TRUNCATED"": 1, ""VALID_CORRECT"": 103, ""VALID_WRONG"": 136}"
