scenario,replicates,rejections,rate,Wilson_95_low,Wilson_95_high,global_rho_mean,global_rho_q05,global_rho_q50,global_rho_q95,row_rho_q05,row_rho_q50,row_rho_q95,fresh_rows_exchangeable_by_construction,global_zero_and_row_exchangeability_coincide
STRICT_EXCHANGEABLE_NULL,5000,248,0.0496,0.04392008579235035,0.05597146011975712,-0.0001342531897488985,-0.059506062375384576,-0.00010242330445881399,0.05846443878011999,-0.25766129032258067,-0.0004032258064516124,0.2574596774193548,True,True
NO_FRESH_LATENT_HETEROGENEITY,5000,209,0.0418,0.03659547471930831,0.047708047343142046,-0.00011923156190564801,-0.059683019769936986,0.0003354828311640445,0.05596722911978534,-0.25786290322580646,0.0016129032258064453,0.2558467741935484,True,True
NO_REFERENCE_LATENT_HETEROGENEITY,5000,260,0.052,0.04618252452365877,0.058505336419112416,-0.00012147545166465057,-0.0656973011151396,-0.00043704157290215334,0.0673523174216039,-0.21261155305865204,-0.0006048387096774209,0.2118951612903226,True,True
NO_CONTROLLER_INTERCEPTS,5000,263,0.0526,0.046748710224978236,0.05913822947545889,-0.0006954367931584974,-0.06425648382875325,-0.0010406051247790335,0.06378105856840642,-0.2594758064516129,-0.0006048387096774192,0.2556595978371994,True,True
NO_SHARED_ITEM_FACTORS,5000,275,0.055,0.049015647769374275,0.06166760696172658,0.0004422357613151536,-0.0563901586217389,-5.7774853400860415e-06,0.05636203072284426,-0.21229838709677418,-0.00040322580645161393,0.21471774193548387,True,True
INDEPENDENT_SHELLS,5000,262,0.0524,0.046559956706276516,0.05892729007493864,-0.0006058019434318743,-0.06378218131866487,-0.0006838692895649826,0.062331091703118194,-0.2568866630986637,-0.0008064516129032279,0.25495424072117645,True,True
SAFETY_CONDITIONING_ONLY,5000,226,0.0452,0.03978255839785057,0.051315743291373395,0.00026733931687168965,-0.0636686345845354,-0.0003471596088206739,0.0631117682626019,-0.25766129032258067,0.0010080645161290314,0.255241935483871,False,False
GEOMETRY_NUISANCE_ONLY,5000,265,0.053,0.04712629144933971,0.059560034089541365,0.01186449255881076,-0.029401274459039322,0.009937947939884785,0.059701218089486086,-0.24193548387096775,0.012701612903225804,0.26471774193548386,False,False
SAFETY_PLUS_GEOMETRY_NUISANCE,5000,284,0.0568,0.050718061546595514,0.06356242945750314,0.012152067483178581,-0.03672745497015456,0.010408190930429977,0.06770585685503587,-0.24153225806451611,0.013104838709677422,0.26705321632395757,False,False
FROZEN_NONEXCHANGEABLE_STRESS_NULL,5000,436,0.0872,0.07969344539728374,0.09534036932855544,0.011121215264209772,-0.037443086840522354,0.010084644894242718,0.06278282737274497,-0.24153225806451611,0.012243933725172528,0.2671370967741935,False,False
SAFETY_GEOMETRY_WITHOUT_INTERCEPTS,5000,259,0.0518,0.04599384613067904,0.05829432189287018,0.011824595245674033,-0.03545939622325686,0.010745328726760275,0.06356856869254383,-0.24254032258064517,0.01209677419354839,0.2659333464408341,False,False
SAFETY_GEOMETRY_INDEPENDENT_SHELLS,5000,285,0.057,0.050907331295262766,0.06377285262805786,0.011759013918783746,-0.036336401206816256,0.010566764297105503,0.06298898414571047,-0.2399193548387097,0.012096774193548387,0.26391129032258065,False,False
