anonymous_controller,total_hours,MEDIUM_hours,STRONG_hours,capped_fraction
077be8037719,4.947581653231043,1.163711558653437,3.7838700945776065,0.03833333333333333
257a2a6fbe00,2.422764886623073,0.7573533260932446,1.6654115605298285,0.0175
33076a6d34b4,1.6251237351391925,0.6604622704886263,0.9646614646505663,0.010833333333333334
3fb6ba522b7f,2.2975674044972725,0.9555010926717133,1.3420663118255591,0.015833333333333335
4951e9185c5b,3.834035875019698,1.1583911758788195,2.6756446991408787,0.029166666666666667
4cc553d28488,1.1383354706479116,0.46193344313549867,0.6764020275124131,0.006666666666666667
6502d650bee4,1.6342590248493314,0.5573208548472313,1.0769381700021,0.010833333333333334
66eb3c9eec2f,7.192231928220349,1.2665869685747788,5.92564495964557,0.056666666666666664
7a85bdd0d1ca,1.5251477883069149,0.458253385581237,1.066894402725678,0.01
85225bda05fb,1.3231643829116728,0.45181826058544783,0.8713461223262251,0.008333333333333333
85dda0437c6f,1.4194918210049299,0.7595513257237083,0.6599404952812216,0.009166666666666667
8af6729541ab,3.637995363298833,0.6638061541403941,2.9741892091584385,0.0175
94a726e225e7,5.550042742824771,1.6660164888481732,3.884026253976598,0.043333333333333335
94f913bea072,3.4476736664886265,0.7691299248997449,2.6785437415888818,0.025833333333333333
9b5c29f5315f,2.6675674833614984,1.067452341090482,1.6001151422710165,0.019166666666666665
9d4cc5e9d412,2.1978071999580626,0.45817281068476506,1.7396343892732977,0.009166666666666667
9f0620701363,2.287931414300126,0.45928115300522526,1.8286502612949012,0.010833333333333334
a4a434596817,3.135718966663933,0.9621504195214301,2.173568547142503,0.023333333333333334
a4bc53ccf7ee,2.923922179397349,1.1607282856068357,1.7631938937905134,0.021666666666666667
a58706d31c91,3.917838364087988,1.0639406916056922,2.8538976724822955,0.029166666666666667
a6567ab058e7,3.535060200076813,1.2624634219205109,2.272596778156302,0.02666666666666667
af4204ad1eb4,3.6304149432481667,1.3617379400455725,2.2686770032025945,0.0275
bd8dc94e9483,2.3215443004719134,0.8574736382652028,1.4640706622067106,0.016666666666666666
c10544f9cffa,2.3241717121856467,0.9575915001323948,1.366580212053252,0.016666666666666666
cdbeb1816ac1,2.0425050517102945,0.4568818284265136,1.5856232232837808,0.008333333333333333
d29589e6b999,2.11309628980172,0.9556041760560361,1.157492113745684,0.015
d3bce1770efb,1.858956089949368,0.7599173021076179,1.09903878784175,0.0125
d909c70165dc,1.3454549748790587,0.35588882291730745,0.9895661519617514,0.006666666666666667
db6c1fb1fa56,2.119587618424816,0.7599393703462718,1.3596482480785441,0.015
e55e929546c5,1.818843792142062,0.6571311037902827,1.1617126883517792,0.0125
ea2a0d96c89f,3.321765124957589,1.3605696060460144,1.9611955189115744,0.025
