scenario,kind,method,replicates,rejections,rate,Wilson_95_low,Wilson_95_high,mean_estimate,signed_bias_vs_nominal_target,coverage,lofo_all_positive_rate,lofo_range_p95
HEAVY_HETEROGENEITY_NULL,null,A_ORIGINAL_ROW_QAP,5000,4,0.0008,0.00031114697610156263,0.0020553266458434704,-0.000277044665432851,-0.000277044665432851,NA,0.0582,0.12876411290322584
HEAVY_HETEROGENEITY_NULL,null,B_ROW_SPEARMAN_SIGN,5000,0,0.0,0.0,0.0007677019450571244,7.294354838709669e-05,7.294354838709669e-05,NA,0.0582,0.12876411290322584
HEAVY_HETEROGENEITY_NULL,null,C_STUDENTIZED_MEAN_ROW_ASSOCIATION,5000,0,0.0,0.0,0.0007677019450571244,-0.0002703654233870967,-0.0002703654233870967,1.0,0.0582,0.12876411290322584
HEAVY_HETEROGENEITY_NULL,null,E_RANK_REGRESSION_CLUSTER,5000,0,0.0,0.0,0.0007677019450571244,-0.00048469351682809184,-0.00048469351682809184,1.0,0.0582,0.12876411290322584
HEAVY_HETEROGENEITY_NULL,null,D_CLUSTER_BOOTSTRAP_PERCENTILE,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.00038763600665577057,0.00038763600665577057,1.0,0.0575,0.12874999999999998
HEAVY_HETEROGENEITY_NULL,null,D_CLUSTER_BOOTSTRAP_BASIC,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.00038763600665577057,0.00038763600665577057,1.0,0.0575,0.12874999999999998
POSITIVE_25_PERCENT_CLOSED_A0,alternative,A_ORIGINAL_ROW_QAP,3000,2844,0.948,0.9394665249775609,0.9553876265645469,0.11821987361524146,-0.022734713485583688,NA,0.994,0.05154637096774194
POSITIVE_25_PERCENT_CLOSED_A0,alternative,B_ROW_SPEARMAN_SIGN,3000,2160,0.72,0.703659541879036,0.7357777646818205,0.12675971102150538,-0.014194876079319768,NA,0.994,0.05154637096774194
POSITIVE_25_PERCENT_CLOSED_A0,alternative,C_STUDENTIZED_MEAN_ROW_ASSOCIATION,3000,2654,0.8846666666666667,0.872741236273029,0.8956082361076204,0.12366432711693547,-0.01729025998388968,0.11533333333333333,0.994,0.05154637096774194
POSITIVE_25_PERCENT_CLOSED_A0,alternative,E_RANK_REGRESSION_CLUSTER,3000,2754,0.918,0.9076393346934355,0.9272915477721921,0.12142171536441432,-0.01953287173641083,0.082,0.994,0.05154637096774194
POSITIVE_25_PERCENT_CLOSED_A0,alternative,D_CLUSTER_BOOTSTRAP_PERCENTILE,1500,1277,0.8513333333333334,0.8324329138971954,0.8684388394500905,0.11821083677037791,-0.022743750330447232,0.14866666666666667,0.9933333333333333,0.051416666666666645
POSITIVE_25_PERCENT_CLOSED_A0,alternative,D_CLUSTER_BOOTSTRAP_BASIC,1500,1275,0.85,0.8310369358943965,0.8671749626014764,0.11821083677037791,-0.022743750330447232,0.15,0.9933333333333333,0.051416666666666645
POSITIVE_50_PERCENT_CLOSED_A0,alternative,A_ORIGINAL_ROW_QAP,3000,3000,1.0,0.9987211512746742,1.0000000000000002,0.23043884526432667,-0.05147032893732362,NA,1.0,0.04897916666666669
POSITIVE_50_PERCENT_CLOSED_A0,alternative,B_ROW_SPEARMAN_SIGN,3000,2992,0.9973333333333333,0.9947465032080693,0.9986481352598064,0.2490664314516129,-0.0328427427500374,NA,1.0,0.04897916666666669
POSITIVE_50_PERCENT_CLOSED_A0,alternative,C_STUDENTIZED_MEAN_ROW_ASSOCIATION,3000,3000,1.0,0.9987211512746742,1.0000000000000002,0.24334129704301077,-0.03856787715863952,0.0,1.0,0.04897916666666669
POSITIVE_50_PERCENT_CLOSED_A0,alternative,E_RANK_REGRESSION_CLUSTER,3000,3000,1.0,0.9987211512746742,1.0000000000000002,0.24229942130885843,-0.039609752892791866,0.0,1.0,0.04897916666666669
POSITIVE_50_PERCENT_CLOSED_A0,alternative,D_CLUSTER_BOOTSTRAP_PERCENTILE,1500,1500,1.0,0.9974455692798185,1.0,0.23065161519786692,-0.05125755900378337,0.0,1.0,0.049094086021505355
POSITIVE_50_PERCENT_CLOSED_A0,alternative,D_CLUSTER_BOOTSTRAP_BASIC,1500,1500,1.0,0.9974455692798185,1.0,0.23065161519786692,-0.05125755900378337,0.0,1.0,0.049094086021505355
POSITIVE_RHO_LIKE_0_15,alternative,A_ORIGINAL_ROW_QAP,3000,2892,0.964,0.9567183204717096,0.9700949079111878,0.1260397723217409,-0.02396022767825909,NA,0.9963333333333333,0.05108870967741935
POSITIVE_RHO_LIKE_0_15,alternative,B_ROW_SPEARMAN_SIGN,3000,2279,0.7596666666666667,0.7440508163759608,0.77461836818602,0.13490584677419354,-0.015094153225806456,NA,0.9963333333333333,0.05108870967741935
POSITIVE_RHO_LIKE_0_15,alternative,C_STUDENTIZED_MEAN_ROW_ASSOCIATION,3000,2773,0.9243333333333333,0.9143176228450905,0.9332637275366827,0.13191802755376345,-0.01808197244623655,0.07566666666666666,0.9963333333333333,0.05108870967741935
POSITIVE_RHO_LIKE_0_15,alternative,E_RANK_REGRESSION_CLUSTER,3000,2831,0.9436666666666667,0.9348345772784211,0.9513639909526396,0.1282438534158937,-0.021756146584106295,0.05633333333333333,0.9963333333333333,0.05108870967741935
POSITIVE_RHO_LIKE_0_15,alternative,D_CLUSTER_BOOTSTRAP_PERCENTILE,1500,1343,0.8953333333333333,0.8788186606451378,0.9098283027987719,0.12665049134821968,-0.023349508651780315,0.10466666666666667,0.9966666666666667,0.05161693548387098
POSITIVE_RHO_LIKE_0_15,alternative,D_CLUSTER_BOOTSTRAP_BASIC,1500,1335,0.89,0.8731585444191344,0.9048489996191241,0.12665049134821968,-0.023349508651780315,0.11,0.9966666666666667,0.05161693548387098
