regime,repetitions,effective_rank_median,effective_rank_q05,effective_rank_q95,max_family_leverage_median,max_family_leverage_q05,max_family_leverage_q95,q90_q10_median,q90_q10_q05,q90_q10_q95,effective_rank_ge_4_rate,max_leverage_le_0_375_rate,max_leverage_le_0_40_rate,angular_range_ge_0_20_rate
BALANCED,2000,7.223320389313783,6.889910104496616,7.491586827712976,0.32751463668720093,0.27864306912667036,0.3937565734508925,0.208864631095092,0.1533507283880357,0.2741717749603347,1.0,0.873,0.959,0.6005
MODERATE_COMMON_AXIS,2000,3.7313699103124542,2.997441744986579,4.756466167170087,0.32466499355544187,0.2773596546620638,0.3913654915242385,0.1966969753524067,0.13881520530598046,0.2701045347484176,0.3105,0.8915,0.9675,0.4625
PATHOLOGICAL_DOMINATION,2000,1.2979336825254577,1.2795220596966792,1.3072970043399927,0.4166379041343016,0.41419185323643526,0.4188251390662353,1.2867071826161385,1.1342658697897094,1.4228084987999825,0.0,0.0,0.0,1.0
