dyads_per_shell,predictor_correlation,repetitions,condition_number_median,condition_number_q95,condition_number_le_30_rate
24,0.0,5000,1.3959259932716948,1.840528590342326,1.0
24,0.8,5000,4.279718963464033,6.034489094569444,1.0
24,0.95,5000,9.056436180345372,12.917992336120129,1.0
24,0.99,5000,20.588023112834353,28.736948440865163,0.9696
40,0.0,5000,1.2845225137582936,1.5825279212998782,1.0
40,0.8,5000,4.078625600257126,5.306491422139818,1.0
40,0.95,5000,8.646804963105325,11.1193501750368,1.0
40,0.99,5000,19.508133799787505,25.075371671143902,0.998
